course,num_stu,teacher,university
高性能计算机网络,8053人,颜昕,武汉理工大学
Python爬虫入门实战,8037人,饶淙元,清华大学
数据挖掘,7940人,喻梅,天津大学
媒体大数据挖掘与案例实战,7680人,沈浩,中国传媒大学
嵌入式系统理论与技术,6363人,胡威,武汉科技大学
万物互联,6262人,杜秀娟,青海师范大学
计算思维导论,6254人,吕橙,北京建筑大学
嵌入式系统,6041人,毕盛,华南理工大学
游戏程序设计,6018人,徐力,清华大学
Web设计与应用,5919人,潘晟旻,昆明理工大学
计算机辅助设计,5918人,方利国,华南理工大学
“做中学”Java程序设计,5844人,郑哲,宁波城市职业技术学院
液晶显示技术,5473人,王丹,华南理工大学
多媒体技术,5442人,李晶,武汉大学
计算机基础与应用,7641人,李春宏,云南财经大学
计算机组成原理,7526人,纪禄平,电子科技大学
微电子工艺,7516人,田丽,哈尔滨工业大学
Web安全实践,4319人,郭燕,中国科学技术大学
操作系统原理,5340人,田丽华,西安交通大学
青年AI自强计划-计算机视觉课程,5287人,王明哲,清华大学
单片机原理及应用,5085人,李璋,湖北大学
互联网体系结构,4840人,孟宁,中国科学技术大学
网络技术与应用实验,4782人,俞海英,中国人民解放军陆军工程大学
智能车制作：底盘结构与调试,4712人,杨珏,北京科技大学
软件工程,4672人,张晓龙,武汉科技大学
素描与体验——原理与形式研究,4455人,张元稼,西安美术学院
漏洞利用及渗透测试基础,4190人,刘哲理,南开大学
物联网概论,4166人,何源,清华大学
EXCEL高级应用,4165人,王瑾瑜,呼和浩特职业学院
程序设计技术（基于C）-基础,4065人,刘慧君,重庆大学
智能控制导论,3978人,刘辉,昆明理工大学
智能控制,3814人,黄从智,华北电力大学
大数据可视化,3721人,陈为,浙江大学
操作系统(RISC-V),3320人,向勇,清华大学
操作系统,4380人,张伟,东北大学
虚拟现实技术及应用,2978人,黄心渊,中国传媒大学
高级语言程序设计,3309人,祁文青,湖北理工学院
计算机网络,2962人,郑瑞娟,河南科技大学
单片机原理及应用,2918人,鲍佳,浙江理工大学
3D游戏引擎架构设计基础,2875人,陈泽琳,华南理工大学
跟着案例循序渐进学习c,2670人,白妙青,山西大学
计算方法,2669人,张晓丹,北京科技大学
数据结构,2610人,胡平,安徽工程大学
PHP程序设计,2184人,耿倩,陕西工业职业技术学院
概率论与数理统计,2610人,马占友,燕山大学
多媒体技术及应用,2597人,郭芬,华南理工大学
网络安全技术(上海高校精品课程),2398人,贾铁军,学堂在线
Code+程序设计大赛习题讲解,2130人,清华酒井算协,学堂在线
数据库技术应用,2021人,赵祯,内蒙古电子信息职业技术学院
数据结构与算法,1990人,吕威,吉林大学珠海学院
计算机是如何实现智能的,1783人,马少平,清华大学
网页设计与地图应用,1753人,李中元,湖北大学
Python 交互式程序设计导论,1624人,张太红,新疆农业大学
网络安全技术,1575人,张玉,南开大学
网络安全,1431人,曹家浩,清华大学
数据结构与算法,1394人,刘馨月,大连理工大学
程序设计技术(基于C)-提高与应用,1412人,刘慧君,重庆大学
计算未来云讲坛（2020）——清华大学计算机系前沿系列讲座,1364人,刘知远,清华大学
数据科学：一种新的思维方式,1303人,袁博,清华大学
疾风计划2021【一年时间助你学通计算机专业】,1288人,郑莉,清华大学
软件测试与质量保证,1286人,周勇,大连理工大学
数据结构,1218人,杨春花,齐鲁工业大学
计算机音乐,1179人,李荣锋,北京邮电大学
全球股市下跌-加密数字货币是避险资产吗？,1172人,罗玫,清华大学
数据库概论,1145人,张璇,云南大学
疫情防控，大数据分析大显身手,1134人,李国良,清华大学
网络安全攻防入门：漏洞利用及渗透测试基础,1119人,刘哲理,南开大学
C语言程序设计,872人,赵楷,新疆大学
计算机网络,1107人,侯睿,中南民族大学
计算机辅助飞行器综合设计,1106人,袁昌盛,西北工业大学
从感知智能到认知智能：深度学习再思考,1078人,邓志东,清华大学
喜迎清华大学109周年校庆-软件学院系列线上活动,1044人,杜平,国家发展与改革委员会
系统辨识,1016人,刘翠玲,北京工商大学
闲话AI：自然语言理解难在那儿？,974人,刘知远,清华大学
C语言程序设计,824人,刘进锋,宁夏大学
AutoCAD软件应用,801人,徐秀娟,陕西国防工业职业技术学院
C程序设计,765人,姜学锋,西北工业大学
C#程序设计,693人,刘君瑞,西北工业大学
清华大数据应用实践：快速搭建基于数据的应用,692人,刘英博,清华大学
视觉无障碍智能交互,664人,史元春,清华大学
安卓手机软件拼图式开发App   Inventor,663人,王杰,广东开放大学
不确定性时代的计算传播学研究,631人,王成军,南京大学
Compilation Principle,567人,刘刚,哈尔滨工程大学
贵系特奖学霸：科研小白入门指北,931人,高天宇,清华大学
个人计算机主要硬件介绍,904人,朱书琦,清华大学
王者荣耀荆轲之模型到游戏开发,878人,于野,启迪阿加学院
计算机病毒分析,517人,王志,南开大学
人工智能,515人,陈钒,天津财经大学
编译技术,511人,徐秀娟,大连理工大学
智能运维,406人,汤汝鸣,清华大学
工业互联网大讲堂,400人,田野,中国工业互联网研究院
机器人的主动感知与行为学习,394人,孙富春,清华大学
深度迁移学习在NLP当中的应用和实践,371人,苏海波,学堂在线
数据到决策的框架：三个机器学习任务、三次结构转换,370人,蒋朦,美国圣母大学
自动驾驶汽车电子控制系统工程师训练营,361人,成波,学堂在线
Access程序设计基础,356人,梁洁,云南大学
推荐系统中的用户理解：偏好、意图、行为与满意度,330人,张敏,清华大学
2020年公派出国留学政策及项目,349人,国家留学基金委,清华大学
深度学习在推荐系统中的应用与发展,348人,王喆,清华大学
C Programming,334人,汪芳,西北工业大学
“神威·太湖之光”超级计算机优化方法与应用简介,286人,甘霖,清华大学
计算机组成原理与系统结构,261人,李晨,西安交通大学
算法支撑的赛博智能经济,285人,徐恪,清华大学
Database Technology and Programming,278人,高裴裴,南开大学
知识驱动：人才战略的未来,277人,张鹏,清华大学
国际超算赛事称霸指南,277人,何家傲,清华大学
AI肖像画大师：生成对抗网络驱动的多风格艺术肖像画创作,275人,刘永进,清华大学
文献检索与论文写作,272人,武祥龙,西北工业大学
浅谈面试中的算法题,271人,杨耀良,清华大学
网络安全博弈之路,261人,张超,清华大学
为网络化系统设计智能可靠的优化算法,258人,黄隆波,清华大学
推荐系统产品分享,256人,叶妃霞,学堂在线计算机学院
ICACHI 云论坛系列,255人,任向实,日本高知工科大学
计算机视觉,250人,鲁鹏,北京邮电大学
当微信邂逅NLP基础研究,249人,李鹏,清华大学
低时延网络挑战赛：从5G和边缘计算到互联网,246人,崔勇,清华大学
基于数据驱动的网络技术应用,241人,姜泽勋,清华大学
知识疫图——AI+大数据在新冠肺炎知识智能服务中的应用,237人,张鹏,智谱·AI
教AI审合同——人工智能技术在法律领域的应用,238人,张天扬,清华大学
AI for Academic Search （人工智能助力学术搜索）,230人,唐杰,清华大学
基于神经网络建模的信息传播预测,224人,杨成,清华大学
新冠疫情地图可视化的技术实践,223人,殷达,清华大学
计算机网络技术,217人,巩向锋,旷视科技有限公司
机器阅读理解：算法与实践,211人,朱晨光,微软
金融科技与量化分析,207人,孟康健,学堂在线
法律智能,207人,钟皓曦,清华大学
用户导向的音视频体验优化,206人,马茗,清华大学
算法训练营,203人,邓俊辉,清华大学
深度学习框架的移动端优化,202人,曾平,旷视科技有限公司
解密旷视抗疫情AI体温产品——明骥,173人,胡晨,清华大学
基于图神经网络的事实验证,201人,周界,清华大学
面向移动与边缘设备的人工智能系统,197人,徐梦炜,北京大学
程序设计,190人,李自力,西南财经大学
Software Engineering,188人,张爽,东北大学
C Programming,186人,丁海燕,云南大学
人工智能基础核心技术之事件检测,183人,仝美涵,清华大学
知识图谱推理问答综述,180人,史佳欣,清华大学
争相步入「情感计算」时代，你上车了吗？,178人,陶建华,中国科学院
对话系统：过去、现在和未来,175人,黄民烈,清华大学
面向对象分析与设计,169人,张涛,西北工业大学
Computer Networks,168人,王昊翔,华南理工大学
Web前端开发,168人,何杰惠,陕西国防工业职业技术学院
商汤泰坦公开课模型量化专题,153人,余锋伟,商汤科技
时空大数据分析和挖掘实战,150人,袁海涛,清华大学
计算机图形学,148人,孙劲光,辽宁工程技术大学
初探图神经网络在分子成药性估计中的应用,145人,裘捷中,清华大学
Computer Fundamentals: Problem Solving Using Computational Think,144人,李敏,南开大学
非易失内存在分布式存储领域的应用,131人,张凯,清华大学
从入门到大神：疫情知识智能服务核心技术实践,144人,张鹏,智谱·AI
数据结构与算法,143人,黄晓鸣,北京交通大学
网络测量与管理,141人,周禹,清华大学
“数据赋能”推动产业转型升级,136人,王建民,清华大学
大规模在线教育中的知识智能,133人,于济凡,清华大学
在线教学网络研讨会会议精彩回放,111人,张莉,中国农业大学
KdConv: 知识驱动的中文多轮对话数据集,98人,郑楚杰,清华大学
智谱新冠流行预测大赛线上颁奖&AI TIME 线上分享,110人,李涓子,清华大学
自动化测试及修复神经网络翻译模型,110人,孙泽宇,北京大学
VR Experience and Panoramic Video Creation,109人,冯欢,南开大学
疫情影响下求职的挑战与机遇,108人,张杰,学堂在线
Introduction to Artificial Intelligence,108人,王刚,南开大学
Computer-Aided Drug Design,104人,孙平华,暨南大学
基于搜索日志、多维度信息的新冠肺炎风险预测,104人,叶子逸,清华大学
任务导向型对话系统评测,102人,高信龙一,清华大学
MixText: Linguistically-Informed Interpolation of Hidden Space for Semi-Supervised Text Classification,91人,陈佳奥,佐治亚理工学院
自监督学习在视觉场景中的研究新进展,102人,詹晓航,香港中文大学
铸钢件铸造技术,74人,邱葭菲,浙江机电职业技术学院
新冠疫情中新闻学术数据的获取及分析应用,91人,杜冀中,智谱·AI
任务导向对话的数据和平台建设,90人,朱祺,清华大学
计算机视觉在地图领域的应用,89人,滴滴-科技生态与发展部,滴滴
Embedded Software Design,86人,赖晓晨,大连理工大学
EMNLP2020专场分享,80人,李健铨,天津大学
AI分割技术在快手平台的应用,80人,宋丛礼,清华大学
CVPR2020竞赛经验分享会,79人,滴滴-科技生态与发展部,滴滴
对话系统中的个性化回复生成与异常输入检测,77人,郑银河,清华大学
Introduction of Artificial Intelligence,58人,莫宏伟,哈尔滨工程大学
低资源场景下的对话系统任务的模型定制,72人,宋伊萍,北京大学
大数据管理与挖掘,70人,邵景峰,西安工程大学
Graph Representation Learning for Drug Discovery,70人,史晨策,MILA
对神经网络对抗鲁棒性正则化的认识,67人,温宇馨,华南理工大学
Brain Science and Advanced Imaging Techniques,65人,张明,西安交通大学
度量和改进图信息在图神经网络中的使用,65人,侯逸帆,香港中文大学
Engineering Responsible AI,63人,沈向洋,清华大学
计算机组织与结构,62人,赖晓晨,大连理工大学
不止于准确性：使用CheckList为NLP模型的进行行为测试,59人,吴彤霜,华盛顿大学
轮式机器人入门,39人,索毅,学堂在线
北京邮电大学人工智能能力认证证书项目（002期）,57人,李蕾,北京邮电大学
细粒度实体分类综述,57人,金海龙,清华大学
基于神经隐变量模型的对话状态推理,57人,闵庆凯,南京航空航天大学
结合词典的中文命名实体识别,54人,李孝男,复旦大学
Java Object Oriented Programming,54人,单博炜,长安大学
TIMME: Twitter Ideology-detection via Multi-task Multi-relational Embedding,53人,肖之屏,加州大学洛杉矶分校
WWW 2020 | 探索资源约束的Contextual Bandits问题,47人,李卿阳,学堂在线计算机学院
多领域端到端任务型对话系统研究分享,34人,覃立波,哈尔滨工业大学
推荐系统训练营（第2期）,5人,张敏,学堂在线计算机学院
深度学习训练营,5人,胡晓林,学堂在线计算机学院
大学计算机基础（艺术类）,3人,史家银,云南艺术学院
