country,cured,date,death,exist,increase,total
中国,87609,2020.12.1,4750,1305,96,93664
美国,8228743,2020.12.1,274386,5420629,169430,13923758
法国,162281,2020.12.1,52731,2007476,9784,2222488
英国,3570,2020.12.1,58448,1567639,12330,1629657
西班牙,196958,2020.12.1,45069,1422918,6659,1664945
意大利,757507,2020.12.1,55576,788471,16376,1601554
巴西,5601804,2020.12.1,173165,561309,21538,6336278
比利时,37474,2020.12.1,16645,523226,2897,577345
荷兰,6964,2020.12.1,9438,511121,4568,527523
俄罗斯,1803467,2020.12.1,40464,478125,26338,2322056
印度,8906114,2020.12.1,137816,433672,31179,9477602
波兰,597589,2020.12.1,17599,384736,5736,999924
乌克兰,355172,2020.12.1,12548,377403,22444,745123
德国,758800,2020.12.1,16949,297111,14156,1072860
伊朗,677963,2020.12.1,48628,249360,13321,975951
瑞典,4971,2020.12.1,6798,248989,0,260758
土耳其,404727,2020.12.1,13746,220374,31219,638847
墨西哥,823586,2020.12.1,105940,184017,12860,1113543
匈牙利,64802,2020.12.1,4977,151294,9546,221073
塞尔维亚,31536,2020.12.1,1604,142298,6224,175438
阿根廷,1257227,2020.12.1,38730,128576,5726,1424533
罗马尼亚,360934,2020.12.1,11530,107170,3826,479634
希腊,9989,2020.12.1,2406,92876,2237,105271
保加利亚,50565,2020.12.1,4035,90700,3553,145300
葡萄牙,212942,2020.12.1,4505,80614,17667,298061
孟加拉国,383224,2020.12.1,6675,77326,2525,467225
瑞士,250200,2020.12.1,4893,75781,13094,330874
印度尼西亚,454879,2020.12.1,17081,72015,4617,543975
哥伦比亚,1210489,2020.12.1,36766,69551,8430,1316806
加拿大,299972,2020.12.1,12130,66037,27717,378139
捷克,451607,2020.12.1,8295,63396,3575,523298
约旦,155026,2020.12.1,2751,61653,5123,219430
伊拉克,484570,2020.12.1,12306,57891,2114,554767
奥地利,221692,2020.12.1,3184,57580,2748,282456
洪都拉斯,48073,2020.12.1,2918,57262,740,108253
哥斯达黎加,87526,2020.12.1,1726,50386,2545,139638
巴基斯坦,343286,2020.12.1,8091,49105,14284,400482
阿塞拜疆,76897,2020.12.1,1433,47272,2981,125602
爱尔兰,23364,2020.12.1,2053,47127,602,72544
立陶宛,15077,2020.12.1,519,46919,2322,62515
摩洛哥,305291,2020.12.1,5846,45199,2533,356336
黎巴嫩,83034,2020.12.1,1018,43892,2266,127944
斯洛伐克,68859,2020.12.1,868,37456,196,107183
南非,731242,2020.12.1,21535,37227,2302,790004
埃塞俄比亚,73808,2020.12.1,1706,34560,42568,110074
秘鲁,894741,2020.12.1,35966,32898,1075,963605
波黑,52769,2020.12.1,2681,32451,527,87901
利比亚,54209,2020.12.1,1196,28012,987,83417
阿尔及利亚,53809,2020.12.1,2431,26959,1987,83199
肯尼亚,55344,2020.12.1,1469,26805,302,83618
多米尼加,115219,2020.12.1,2331,26438,515,143988
菲律宾,398782,2020.12.1,8418,25725,1766,432925
亚美尼亚,110365,2020.12.1,2193,23409,1199,135967
日本,125470,2020.12.1,2193,23355,1434,151018
突尼斯,70851,2020.12.1,3260,22658,1789,96769
巴拉圭,58453,2020.12.1,1756,22215,1293,82424
白俄罗斯,115587,2020.12.1,1166,21466,1639,138219
巴勒斯坦,65938,2020.12.1,747,21319,2062,88004
克罗地亚,108231,2020.12.1,1861,21250,1830,131342
北马其顿,38946,2020.12.1,1763,21169,1155,61878
格鲁吉亚,117560,2020.12.1,1303,20480,6975,139343
斯洛文尼亚,55476,2020.12.1,1490,20140,433,77106
缅甸,71343,2020.12.1,1972,18874,1227,92189
阿尔巴尼亚,18849,2020.12.1,810,18523,557,38182
巴拿马,144462,2020.12.1,3079,18265,2353,165806
丹麦,64757,2020.12.1,846,16346,1129,81949
拉脱维亚,1806,2020.12.1,210,15671,100,17687
尼泊尔,216594,2020.12.1,1529,15329,1474,233452
玻利维亚,121702,2020.12.1,8957,14049,116,144708
阿拉伯联合酋长国,155667,2020.12.1,576,13906,4893,170149
哈萨克斯坦,116863,2020.12.1,1990,13495,1483,132348
乌干达,8989,2020.12.1,205,11265,314,20459
黑山,24131,2020.12.1,499,10635,811,35265
以色列,323997,2020.12.1,2867,10558,2385,337422
马来西亚,56311,2020.12.1,363,10495,1212,67169
智利,526604,2020.12.1,15410,9729,1313,551743
摩尔多瓦,95354,2020.12.1,2304,9706,347,107364
法属波利尼西亚,4842,2020.12.1,75,9455,276,14372
厄瓜多尔,169804,2020.12.1,13461,9420,4547,192685
塞浦路斯,2057,2020.12.1,49,8459,334,10565
挪威,27414,2020.12.1,334,8402,466,36150
卢森堡,26086,2020.12.1,321,8271,704,34678
芬兰,16800,2020.12.1,399,8263,283,25462
阿富汗,36907,2020.12.1,1797,8013,283,46717
吉尔吉斯斯坦,64711,2020.12.1,1275,7192,751,73178
阿曼,115441,2020.12.1,1430,7037,215,123908
危地马拉,110944,2020.12.1,4171,6947,264,122062
安哥拉,7851,2020.12.1,348,6940,52,15139
埃及,102718,2020.12.1,6650,6543,728,115911
苏丹,10302,2020.12.1,1249,6259,406,17810
韩国,27885,2020.12.1,526,6241,451,34652
斯里兰卡,17815,2020.12.1,118,6054,503,23987
瓜德罗普,2242,2020.12.1,149,5953,0,8344
马提尼克,98,2020.12.1,40,5275,0,5413
爱沙尼亚,7536,2020.12.1,121,4840,256,12497
沙特阿拉伯,347176,2020.12.1,5907,4540,971,357623
科威特,137625,2020.12.1,881,4486,209,142992
牙买加,6219,2020.12.1,257,4287,54,10763
委内瑞拉,97326,2020.12.1,897,4171,634,102394
叙利亚,3560,2020.12.1,417,3910,172,7887
尼日利亚,63282,2020.12.1,1173,3102,227,67557
中非共和国,1924,2020.12.1,63,2926,0,4913
博茨瓦纳,7912,2020.12.1,34,2796,484,10742
伯利兹,3151,2020.12.1,148,2555,207,5854
卡塔尔,136306,2020.12.1,238,2457,185,139001
乌兹别克斯坦,70337,2020.12.1,610,2198,341,73145
萨尔瓦多,35839,2020.12.1,1120,2171,725,39130
马约特,2964,2020.12.1,49,2168,0,5181
马耳他,7748,2020.12.1,141,2086,121,9975
莫桑比克,13729,2020.12.1,131,1841,88,15701
喀麦隆,22177,2020.12.1,437,1831,328,24445
巴哈马,5889,2020.12.1,163,1489,45,7541
巴林,85141,2020.12.1,341,1474,311,86956
乌拉圭,4357,2020.12.1,77,1423,346,5857
澳大利亚,25602,2020.12.1,908,1402,19,27912
尼加拉瓜,4225,2020.12.1,160,1399,0,5784
马里,3206,2020.12.1,156,1348,51,4710
津巴布韦,8489,2020.12.1,277,1268,212,10034
库拉索,1151,2020.12.1,4,1224,121,2379
法属圭亚那,9995,2020.12.1,70,1139,25,11204
海地,8023,2020.12.1,233,1038,22,9294
马尔代夫,11939,2020.12.1,46,1026,64,13011
几内亚,12045,2020.12.1,76,998,80,13119
索马里,3417,2020.12.1,113,921,0,4451
圭亚那合作共和国,4392,2020.12.1,151,863,68,5406
刚果（金）,11585,2020.12.1,333,854,407,12772
留尼汪岛,7172,2020.12.1,40,842,114,8054
莱索托,1278,2020.12.1,44,815,0,2137
加纳,50547,2020.12.1,323,797,191,51667
安道尔,5873,2020.12.1,76,796,135,6745
特立尼达和多巴哥,5771,2020.12.1,120,778,39,6669
纳米比亚,13535,2020.12.1,151,694,35,14380
毛里塔尼亚,7732,2020.12.1,177,692,143,8601
刚果（布）,4988,2020.12.1,94,692,142,5774
古巴,7631,2020.12.1,135,518,51,8284
塔吉克斯坦,11599,2020.12.1,86,509,39,12194
塞拉利昂,1836,2020.12.1,74,502,2,2412
蒙古国,358,2020.12.1,0,443,17,801
马达加斯加,16657,2020.12.1,251,433,0,17341
多哥,2478,2020.12.1,64,432,36,2974
马拉维,5455,2020.12.1,185,388,3,6028
卢旺达,5516,2020.12.1,49,369,43,5934
佛得角,10329,2020.12.1,105,327,61,10761
坦桑尼亚,183,2020.12.1,21,305,0,509
斯威士兰,6006,2020.12.1,122,291,13,6419
圣马力诺,1299,2020.12.1,46,267,26,1612
尼日尔,1210,2020.12.1,72,266,64,1548
赞比亚,17059,2020.12.1,357,249,39,17665
海峡群岛,1012,2020.12.1,48,239,81,1299
科特迪瓦,20964,2020.12.1,132,235,70,21331
布基纳法索,2593,2020.12.1,68,225,69,2886
冰岛,5187,2020.12.1,27,199,11,5413
利比里亚,1343,2020.12.1,83,169,0,1595
列支敦士登,1088,2020.12.1,16,166,17,1270
塞内加尔,15627,2020.12.1,333,147,14,16107
泰国,3811,2020.12.1,60,137,31,4008
贝宁,2839,2020.12.1,43,133,41,3015
圣卢西亚,131,2020.12.1,2,126,7,259
越南,1195,2020.12.1,35,121,4,1351
布隆迪,575,2020.12.1,1,112,7,688
阿鲁巴,4692,2020.12.1,45,108,12,4845
南苏丹,2954,2020.12.1,61,94,5,3109
加蓬,9066,2020.12.1,60,88,23,9214
圣马丁岛,964,2020.12.1,25,80,7,1069
厄立特里亚,498,2020.12.1,0,79,0,577
直布罗陀,939,2020.12.1,5,76,6,1020
新西兰,1962,2020.12.1,25,72,9,2059
几内亚比绍,2327,2020.12.1,44,70,19,2441
新加坡,58134,2020.12.1,29,65,15,58228
也门,1510,2020.12.1,619,62,14,2191
乍得,1525,2020.12.1,101,62,25,1688
赤道几内亚,5009,2020.12.1,85,59,0,5153
巴布亚新几内亚,597,2020.12.1,7,52,11,656
摩纳哥,556,2020.12.1,3,50,2,609
圣多美和普林西比,933,2020.12.1,17,41,2,991
圣巴泰勒米岛,105,2020.12.1,1,41,0,147
钻石公主号邮轮,659,2020.12.1,13,40,0,712
毛里求斯,456,2020.12.1,10,38,3,504
百慕大,214,2020.12.1,9,37,9,260
吉布提,5584,2020.12.1,61,34,2,5679
不丹,381,2020.12.1,0,29,14,410
特克斯和凯科斯群岛,717,2020.12.1,6,25,0,748
柬埔寨,304,2020.12.1,0,22,11,326
多米尼克,63,2020.12.1,0,22,0,85
塞舌尔,162,2020.12.1,0,21,17,183
开曼群岛,252,2020.12.1,2,20,0,274
巴巴多斯,250,2020.12.1,7,19,1,276
冈比亚,3601,2020.12.1,123,18,8,3742
科摩罗,586,2020.12.1,7,18,0,611
老挝,26,2020.12.1,0,13,0,39
梵蒂冈,15,2020.12.1,0,12,0,27
所罗门群岛,5,2020.12.1,0,12,0,17
格林纳达,30,2020.12.1,0,11,0,41
安提瓜和巴布达,130,2020.12.1,4,7,0,141
斐济,33,2020.12.1,2,7,4,42
马恩岛,338,2020.12.1,25,6,0,369
圣文森特和格林纳丁斯,79,2020.12.1,0,6,0,85
法罗群岛,498,2020.12.1,0,5,3,503
圣皮埃尔,12,2020.12.1,0,4,0,16
文莱,145,2020.12.1,3,3,1,151
圣基茨和尼维斯,19,2020.12.1,0,3,0,22
马尔维纳斯群岛,13,2020.12.1,0,3,0,16
