country,cured,date,death,exist,increase,total
中国,87896,2020.12.6,4753,1629,62,94278
美国,8787738,2020.12.6,287825,5907862,216633,14983425
法国,169358,2020.12.6,54981,2057136,11221,2281475
英国,3660,2020.12.6,61014,1641297,16298,1705971
西班牙,196958,2020.12.6,46252,1455935,5554,1699145
意大利,896308,2020.12.6,59514,754169,24110,1709991
巴西,5761363,2020.12.6,176641,639173,38901,6577177
荷兰,7266,2020.12.6,9662,533517,6521,550445
比利时,39185,2020.12.6,17254,533503,2582,589942
俄罗斯,1937738,2020.12.6,43141,479891,28782,2460770
印度,9107718,2020.12.6,140268,403640,31601,9651626
乌克兰,418581,2020.12.6,13588,381137,13825,813306
土耳其,427242,2020.12.6,14705,355946,32736,797893
波兰,706720,2020.12.6,20089,336640,12427,1063449
德国,835700,2020.12.6,18975,315420,16157,1170095
瑞典,4971,2020.12.6,7067,266874,0,278912
伊朗,730798,2020.12.6,50310,259439,12151,1040547
墨西哥,859463,2020.12.6,109456,199476,12127,1168395
塞尔维亚,31536,2020.12.6,1891,180416,6903,213843
匈牙利,71682,2020.12.6,5868,172728,5525,250278
阿根廷,1288785,2020.12.6,39632,131415,6899,1459832
希腊,9989,2020.12.6,2902,101677,0,114568
罗马尼亚,405612,2020.12.6,12320,95644,8072,513576
保加利亚,60673,2020.12.6,4729,95442,3614,160844
印度尼西亚,474771,2020.12.6,17740,83285,6027,575796
瑞士,260600,2020.12.6,5344,78553,0,344497
哥伦比亚,1249702,2020.12.6,37633,74914,9285,1362249
孟加拉国,395960,2020.12.6,6838,74747,1798,477545
葡萄牙,240203,2020.12.6,4876,73561,6087,318640
加拿大,324882,2020.12.6,12589,71450,6299,408921
捷克,476685,2020.12.6,8838,60201,4743,545724
伊拉克,493567,2020.12.6,12432,58201,1898,564200
洪都拉斯,49096,2020.12.6,2941,57923,0,109960
阿塞拜疆,88497,2020.12.6,1632,56550,4323,146679
巴基斯坦,355012,2020.12.6,8361,53126,3119,416499
约旦,182463,2020.12.6,3010,52040,3160,237513
爱尔兰,23364,2020.12.6,2099,48485,263,73948
奥地利,252765,2020.12.6,3840,46825,3444,303430
黎巴嫩,88096,2020.12.6,1090,46690,1478,135876
哥斯达黎加,95789,2020.12.6,1773,46123,1180,143685
南非,744298,2020.12.6,22067,44084,4932,810449
立陶宛,30390,2020.12.6,626,43633,2848,74649
摩洛哥,327693,2020.12.6,6184,42861,3996,376738
斯洛伐克,82666,2020.12.6,996,33069,2070,116731
波黑,58625,2020.12.6,2952,32930,975,94507
埃塞俄比亚,79579,2020.12.6,1745,31416,512,112740
秘鲁,905696,2020.12.6,36231,30761,2014,972688
多米尼加,116329,2020.12.6,2345,28981,1646,147655
利比亚,56702,2020.12.6,1231,28647,0,86580
阿尔及利亚,56617,2020.12.6,2501,28384,803,87502
格鲁吉亚,133511,2020.12.6,1504,27460,5450,162475
日本,135277,2020.12.6,2354,25284,2506,162915
巴勒斯坦,72773,2020.12.6,828,24437,1422,98038
巴拉圭,61283,2020.12.6,1833,24097,1022,87213
克罗地亚,124439,2020.12.6,2174,23740,4084,150353
突尼斯,76441,2020.12.6,3526,23024,2620,102991
亚美尼亚,116796,2020.12.6,2326,22815,1267,141937
菲律宾,408634,2020.12.6,8554,22646,1724,439834
北马其顿,42872,2020.12.6,1901,22538,1099,67311
白俄罗斯,122339,2020.12.6,1198,21742,1896,145279
巴拿马,151247,2020.12.6,3173,21487,2388,175907
斯洛文尼亚,63580,2020.12.6,1744,20481,1642,85805
阿尔巴尼亚,21286,2020.12.6,889,19973,846,42148
缅甸,76382,2020.12.6,2081,19584,1527,98047
拉脱维亚,1866,2020.12.6,262,19185,794,21313
丹麦,70876,2020.12.6,885,18842,2115,90603
肯尼亚,68532,2020.12.6,1518,17934,735,87984
阿拉伯联合酋长国,159132,2020.12.6,592,16705,1214,176429
哈萨克斯坦,120178,2020.12.6,2034,14059,792,136271
厄瓜多尔,169804,2020.12.6,13756,13831,598,197391
尼泊尔,225805,2020.12.6,1594,13582,1024,240981
摩尔多瓦,99606,2020.12.6,2403,13548,1728,115557
以色列,327972,2020.12.6,2916,13340,0,344228
乌干达,9117,2020.12.6,206,12865,286,22188
玻利维亚,124596,2020.12.6,8992,11904,139,145492
智利,531543,2020.12.6,15592,11533,1533,558668
马来西亚,61273,2020.12.6,382,11039,1123,72694
黑山,26809,2020.12.6,530,10540,535,37879
挪威,27414,2020.12.6,354,10305,590,38073
法属波利尼西亚,4842,2020.12.6,79,10186,210,15107
塞浦路斯,2057,2020.12.6,57,10067,289,12181
卢森堡,28029,2020.12.6,350,9305,588,37684
芬兰,18100,2020.12.6,415,9116,460,27631
阿富汗,37782,2020.12.6,1875,8244,253,47901
埃及,103324,2020.12.6,6750,7940,427,118014
韩国,29128,2020.12.6,545,7873,583,37546
危地马拉,113870,2020.12.6,4239,7243,547,125352
阿曼,116354,2020.12.6,1444,7088,0,124886
斯里兰卡,20460,2020.12.6,137,6993,938,27590
苏丹,10942,2020.12.6,1290,6964,661,19196
安哥拉,8335,2020.12.6,354,6847,132,15536
吉尔吉斯斯坦,66993,2020.12.6,1295,6685,401,74973
瓜德罗普,2242,2020.12.6,149,6036,0,8427
爱沙尼亚,8959,2020.12.6,131,5888,561,14978
马提尼克,98,2020.12.6,41,5381,0,5520
委内瑞拉,98879,2020.12.6,916,4382,329,104177
叙利亚,3879,2020.12.6,442,3999,86,8320
牙买加,6866,2020.12.6,261,3936,76,11063
沙特阿拉伯,348879,2020.12.6,5965,3869,190,358713
伯利兹,3752,2020.12.6,172,3677,147,7601
科威特,140035,2020.12.6,891,3443,0,144369
尼日利亚,64650,2020.12.6,1180,3107,324,68937
中非共和国,1924,2020.12.6,63,2935,0,4922
博茨瓦纳,8978,2020.12.6,34,2519,0,11531
萨尔瓦多,36525,2020.12.6,1159,2447,0,40131
卡塔尔,137276,2020.12.6,239,2393,140,139908
马约特,2964,2020.12.6,49,2168,0,5181
乌兹别克斯坦,71173,2020.12.6,611,2120,159,73904
马耳他,8396,2020.12.6,151,1973,103,10520
乌拉圭,4946,2020.12.6,81,1938,276,6965
