country,cured,date,death,exist,increase,total
中国,87712,2020.12.3,4751,1426,72,93889
美国,8462434,2020.12.3,279867,5571964,198213,14314265
法国,165563,2020.12.3,53816,2025256,8083,2244635
英国,3602,2020.12.3,59699,1595955,13429,1659256
西班牙,196958,2020.12.3,45784,1439791,8257,1682533
意大利,823335,2020.12.3,57045,761230,19347,1641610
巴西,5698353,2020.12.3,174531,563766,52248,6436650
比利时,38261,2020.12.3,16911,527080,1867,582252
荷兰,7066,2020.12.3,9504,515874,4921,532444
俄罗斯,1859851,2020.12.3,41607,474088,25345,2375546
印度,8973373,2020.12.3,138657,422934,39172,9534964
乌克兰,384426,2020.12.3,12960,375374,13141,772760
波兰,646560,2020.12.3,18828,363222,13823,1028610
德国,779500,2020.12.3,17812,308520,15762,1105832
土耳其,414141,2020.12.3,14129,272610,0,700880
伊朗,699315,2020.12.3,49348,254831,13621,1003494
瑞典,4971,2020.12.3,6972,254215,5400,266158
墨西哥,836567,2020.12.3,107565,189481,8819,1133613
匈牙利,67033,2020.12.3,5324,159487,4136,231844
塞尔维亚,31536,2020.12.3,1704,158116,7919,191356
阿根廷,1268358,2020.12.3,39156,132589,8037,1440103
罗马尼亚,381001,2020.12.3,11876,99334,4916,492211
希腊,9989,2020.12.3,2606,97060,4384,109655
保加利亚,55206,2020.12.3,4347,92360,3475,151913
印度尼西亚,462553,2020.12.3,17355,77969,5533,557877
瑞士,257600,2020.12.3,5111,77404,4786,340115
孟加拉国,388379,2020.12.3,6748,76612,2198,471739
葡萄牙,223446,2020.12.3,4645,75755,3384,303846
哥伦比亚,1225635,2020.12.3,37117,71337,7986,1334089
加拿大,309886,2020.12.3,12325,67564,5345,389775
捷克,461599,2020.12.3,8515,62928,5176,533042
伊拉克,486313,2020.12.3,12340,58075,1961,556728
洪都拉斯,48877,2020.12.3,2930,57337,0,109144
约旦,168429,2020.12.3,2854,55925,3591,227208
奥地利,238127,2020.12.3,3538,51765,3972,293430
巴基斯坦,346951,2020.12.3,8205,51654,2829,406810
哥斯达黎加,88226,2020.12.3,1739,51375,534,141340
阿塞拜疆,79162,2020.12.3,1470,48912,3942,129544
爱尔兰,23364,2020.12.3,2074,47628,254,73066
黎巴嫩,83034,2020.12.3,1055,47208,1511,131297
摩洛哥,314237,2020.12.3,5985,43968,3508,364190
南非,734305,2020.12.3,21709,40458,2295,796472
立陶宛,26836,2020.12.3,564,39666,2106,67066
斯洛伐克,74273,2020.12.3,930,36005,2043,111208
埃塞俄比亚,76067,2020.12.3,1715,33202,480,110984
波黑,54967,2020.12.3,2773,32638,2477,90378
秘鲁,899213,2020.12.3,36076,31786,1623,967075
利比亚,55304,2020.12.3,1212,28333,670,84849
菲律宾,399325,2020.12.3,8446,27642,1432,435413
阿尔及利亚,54990,2020.12.3,2464,27630,953,85084
多米尼加,115611,2020.12.3,2334,27252,895,145197
肯尼亚,56464,2020.12.3,1484,27182,961,85130
日本,129241,2020.12.3,2250,24461,2438,155952
克罗地亚,113509,2020.12.3,1964,23942,3539,139415
巴勒斯坦,68250,2020.12.3,780,23678,2188,92708
巴拉圭,59465,2020.12.3,1783,23234,1055,84482
亚美尼亚,113228,2020.12.3,2254,23026,1264,138508
