country,cured,date,death,exist,increase,total
中国,88056,2020.12.8,4753,1679,18,94488
美国,8983641,2020.12.8,290474,6096224,173785,15370339
法国,170285,2020.12.8,55521,2070102,11022,2295908
英国,3747,2020.12.8,61434,1672779,17271,1737960
西班牙,196958,2020.12.8,46646,1472096,0,1715700
意大利,933132,2020.12.8,60606,748819,18887,1742557
巴西,5801067,2020.12.8,177388,649610,26363,6628065
荷兰,7341,2020.12.8,9704,547246,7067,564291
比利时,39938,2020.12.8,17386,535291,1814,592615
俄罗斯,1981526,2020.12.8,44159,489324,28142,2515009
土耳其,436270,2020.12.8,15103,409059,0,860432
印度,9179046,2020.12.8,141005,384954,22218,9705005
乌克兰,436564,2020.12.8,13928,382266,8641,832758
德国,863300,2020.12.8,19539,317167,14416,1200006
波兰,738845,2020.12.8,20592,316743,4421,1076180
瑞典,4971,2020.12.8,7067,266874,0,278912
伊朗,754224,2020.12.8,50917,257256,10827,1062397
墨西哥,873555,2020.12.8,110074,198620,7455,1182249
塞尔维亚,31536,2020.12.8,2005,192668,6557,226209
匈牙利,75281,2020.12.8,6120,174966,3870,256367
阿根廷,1300696,2020.12.8,39888,125725,3278,1466309
希腊,9989,2020.12.8,3092,103640,903,116721
罗马尼亚,416797,2020.12.8,12660,95218,3660,524675
保加利亚,65616,2020.12.8,5010,93559,577,164185
印度尼西亚,483497,2020.12.8,18000,85345,5754,586842
葡萄牙,245843,2020.12.8,5041,74187,0,325071
孟加拉国,401194,2020.12.8,6906,73845,2198,481945
瑞士,279900,2020.12.8,5527,73141,9809,358568
加拿大,338735,2020.12.8,12777,71542,4219,423054
哥伦比亚,1267595,2020.12.8,37995,71510,8854,1377100
阿塞拜疆,93411,2020.12.8,1713,59028,3086,154152
洪都拉斯,49456,2020.12.8,2946,58621,300,111023
伊拉克,495725,2020.12.8,12460,57830,1815,566015
捷克,484781,2020.12.8,9036,57253,1109,551070
南非,745750,2020.12.8,22249,49879,4116,817878
爱尔兰,23364,2020.12.8,2099,49005,298,74468
约旦,192033,2020.12.8,3116,48920,0,244069
黎巴嫩,90229,2020.12.8,1115,46752,1236,138096
立陶宛,32399,2020.12.8,673,44354,1387,77426
巴基斯坦,370474,2020.12.8,8487,44218,3795,423179
奥地利,262314,2020.12.8,4002,41754,2263,308070
哥斯达黎加,102855,2020.12.8,1825,41741,0,146421
摩洛哥,334269,2020.12.8,6320,40599,2919,381188
波黑,59488,2020.12.8,3012,32444,437,94944
斯洛伐克,87433,2020.12.8,1046,30753,552,119232
秘鲁,909389,2020.12.8,36324,29403,1224,975116
多米尼加,117402,2020.12.8,2346,29390,0,149138
埃塞俄比亚,82803,2020.12.8,1755,29177,555,113735
利比亚,57837,2020.12.8,1255,28894,517,87986
阿尔及利亚,57648,2020.12.8,2527,28650,750,88825
格鲁吉亚,141392,2020.12.8,1576,26681,2501,169649
菲律宾,408790,2020.12.8,8670,25325,1565,442785
日本,138994,2020.12.8,2434,25087,1520,166515
巴勒斯坦,75257,2020.12.8,867,24985,1720,101109
巴拉圭,62603,2020.12.8,1872,24248,707,88723
突尼斯,77798,2020.12.8,3596,22935,1011,104329
巴拿马,154330,2020.12.8,3212,21688,1812,179230
克罗地亚,130869,2020.12.8,2298,21685,1886,154852
北马其顿,44705,2020.12.8,1949,21678,657,68332
白俄罗斯,126084,2020.12.8,1215,21654,1796,148953
亚美尼亚,119147,2020.12.8,2372,21409,407,142928
斯洛文尼亚,65240,2020.12.8,1862,20813,480,87915
阿尔巴尼亚,22180,2020.12.8,922,20581,0,43683
拉脱维亚,1866,2020.12.8,288,19950,207,22104
丹麦,71882,2020.12.8,894,19873,2046,92649
缅甸,79240,2020.12.8,2132,19059,1276,100431
阿拉伯联合酋长国,160295,2020.12.8,596,17946,1148,178837
肯尼亚,69414,2020.12.8,1531,17634,396,88579
哈萨克斯坦,121347,2020.12.8,2034,14272,712,137653
以色列,330188,2020.12.8,2924,13685,1433,346797
乌干达,9374,2020.12.8,207,13619,311,23200
摩尔多瓦,101938,2020.12.8,2438,13119,0,117495
尼泊尔,229054,2020.12.8,1637,12686,1014,243377
玻利维亚,124981,2020.12.8,8997,11679,68,145657
挪威,27414,2020.12.8,359,10930,340,38703
马来西亚,64056,2020.12.8,388,10862,1600,75306
塞浦路斯,2057,2020.12.8,63,10747,270,12867
黑山,27651,2020.12.8,543,10368,367,38562
厄瓜多尔,174188,2020.12.8,13780,10276,607,198244
智利,536267,2020.12.8,15663,10212,0,562142
法属波利尼西亚,4842,2020.12.8,79,10186,0,15107
芬兰,18100,2020.12.8,424,9718,250,28242
韩国,29650,2020.12.8,552,8553,615,38755
阿富汗,38033,2020.12.8,1908,8422,235,48363
埃及,103703,2020.12.8,6790,8354,418,118847
卢森堡,29792,2020.12.8,360,8324,531,38476
斯里兰卡,20804,2020.12.8,142,7634,326,28580
苏丹,11184,2020.12.8,1301,7262,272,19747
阿曼,116720,2020.12.8,1454,7151,229,125325
安哥拉,8353,2020.12.8,354,6941,55,15648
危地马拉,114697,2020.12.8,4274,6703,0,125674
吉尔吉斯斯坦,67873,2020.12.8,1301,6516,422,75690
瓜德罗普,2242,2020.12.8,149,6036,0,8427
爱沙尼亚,9446,2020.12.8,137,5927,248,15510
马提尼克,98,2020.12.8,41,5381,0,5520
叙利亚,4000,2020.12.8,452,4038,83,8490
委内瑞拉,99982,2020.12.8,924,3998,265,104904
伯利兹,3943,2020.12.8,176,3834,168,7953
沙特阿拉伯,349168,2020.12.8,5977,3777,209,358922
牙买加,7146,2020.12.8,265,3773,0,11184
尼日利亚,64947,2020.12.8,1181,3517,318,69645
科威特,140341,2020.12.8,897,3361,230,144599
中非共和国,1924,2020.12.8,63,2935,0,4922
博茨瓦纳,9400,2020.12.8,36,2622,0,12058
萨尔瓦多,36735,2020.12.8,1168,2442,0,40345
卡塔尔,137708,2020.12.8,239,2256,0,140203
乌拉圭,5240,2020.12.8,83,2182,338,7505
马约特,2964,2020.12.8,49,2168,0,5181
乌兹别克斯坦,71482,2020.12.8,611,2113,149,74206
马耳他,8641,2020.12.8,157,1901,139,10699
库拉索,1352,2020.12.8,8,1814,125,3174
莫桑比克,14429,2020.12.8,136,1761,0,16326
马里,3377,2020.12.8,175,1738,73,5290
毛里塔尼亚,7849,2020.12.8,194,1636,157,9679
津巴布韦,8972,2020.12.8,294,1573,101,10839
巴林,86215,2020.12.8,341,1555,198,88111
尼加拉瓜,4225,2020.12.8,161,1452,0,5838
澳大利亚,25646,2020.12.8,908,1433,7,27987
巴哈马,6003,2020.12.8,163,1413,0,7579
法属圭亚那,9995,2020.12.8,71,1392,0,11458
刚果（金）,12059,2020.12.8,344,1192,114,13595
纳米比亚,13949,2020.12.8,152,1118,128,15219
海地,8148,2020.12.8,233,1018,0,9399
喀麦隆,23344,2020.12.8,443,965,0,24752
索马里,3529,2020.12.8,121,929,0,4579
加纳,51063,2020.12.8,325,886,76,52274
莱索托,1278,2020.12.8,44,828,0,2150
古巴,7997,2020.12.8,136,773,0,8906
圭亚那合作共和国,4779,2020.12.8,154,764,28,5697
马尔代夫,12437,2020.12.8,47,729,39,13213
几内亚,12465,2020.12.8,79,720,0,13264
安道尔,6293,2020.12.8,78,713,45,7084
刚果（布）,4988,2020.12.8,94,692,0,5774
特立尼达和多巴哥,5962,2020.12.8,122,691,16,6775
尼日尔,1239,2020.12.8,78,577,67,1894
海峡群岛,1088,2020.12.8,48,540,96,1676
布基纳法索,2721,2020.12.8,68,526,56,3315
留尼汪岛,7729,2020.12.8,41,524,0,8294
塞拉利昂,1846,2020.12.8,74,508,0,2428
蒙古国,384,2020.12.8,0,504,38,888
塔吉克斯坦,11881,2020.12.8,87,501,41,12469
卢旺达,5696,2020.12.8,51,444,45,6191
塞内加尔,15864,2020.12.8,340,392,76,16596
马拉维,5476,2020.12.8,185,390,2,6051
多哥,2677,2020.12.8,65,369,10,3111
赞比亚,17268,2020.12.8,364,331,15,17963
马达加斯加,16927,2020.12.8,255,331,0,17513
圣马力诺,1438,2020.12.8,48,314,11,1800
佛得角,10676,2020.12.8,109,313,27,11098
斯威士兰,6094,2020.12.8,123,312,6,6529
坦桑尼亚,183,2020.12.8,21,305,0,509
利比里亚,1358,2020.12.8,83,235,0,1676
科特迪瓦,21150,2020.12.8,132,225,44,21507
泰国,3874,2020.12.8,60,192,21,4126
冰岛,5292,2020.12.8,28,186,14,5506
也门,1554,2020.12.8,649,180,46,2383
列支敦士登,1235,2020.12.8,19,143,1,1397
南苏丹,2977,2020.12.8,62,142,15,3181
厄立特里亚,517,2020.12.8,0,132,0,649
阿鲁巴,4801,2020.12.8,45,120,8,4966
越南,1224,2020.12.8,35,118,1,1377
贝宁,2922,2020.12.8,44,107,18,3073
圣卢西亚,165,2020.12.8,2,103,0,270
圣马丁岛,1030,2020.12.8,26,99,2,1155
新加坡,58168,2020.12.8,29,88,13,58285
加蓬,9132,2020.12.8,60,86,0,9278
巴布亚新几内亚,601,2020.12.8,7,76,0,684
百慕大,222,2020.12.8,9,75,0,306
布隆迪,630,2020.12.8,1,67,0,698
几内亚比绍,2337,2020.12.8,44,63,0,2444
摩纳哥,577,2020.12.8,3,61,1,641
乍得,1571,2020.12.8,102,55,3,1728
新西兰,2006,2020.12.8,25,54,1,2085
吉布提,5596,2020.12.8,61,51,0,5708
直布罗陀,1004,2020.12.8,5,49,2,1058
赤道几内亚,5036,2020.12.8,85,45,7,5166
圣多美和普林西比,940,2020.12.8,17,45,0,1002
柬埔寨,307,2020.12.8,0,43,2,350
不丹,390,2020.12.8,0,42,4,432
圣巴泰勒米岛,105,2020.12.8,1,41,0,147
冈比亚,3618,2020.12.8,123,31,0,3772
开曼群岛,262,2020.12.8,2,26,0,290
毛里求斯,478,2020.12.8,10,23,0,511
巴巴多斯,260,2020.12.8,7,20,0,287
塞舌尔,168,2020.12.8,0,16,0,184
多米尼克,72,2020.12.8,0,13,0,85
老挝,28,2020.12.8,0,13,2,41
梵蒂冈,15,2020.12.8,0,12,0,27
所罗门群岛,5,2020.12.8,0,12,0,17
特克斯和凯科斯群岛,740,2020.12.8,6,10,0,756
科摩罗,600,2020.12.8,7,9,0,616
法罗群岛,501,2020.12.8,0,9,0,510
斐济,33,2020.12.8,2,9,0,44
安提瓜和巴布达,134,2020.12.8,4,8,2,146
圣文森特和格林纳丁斯,80,2020.12.8,0,7,0,87
安圭拉,3,2020.12.8,0,7,2,10
圣基茨和尼维斯,21,2020.12.8,0,4,0,25
新喀里多尼亚,32,2020.12.8,0,3,0,35
文莱,147,2020.12.8,3,2,0,152
格林纳达,41,2020.12.8,0,2,2,43
马尔维纳斯群岛,15,2020.12.8,0,2,0,17
圣皮埃尔,14,2020.12.8,0,2,0,16
瓦利斯和富图纳群岛,1,2020.12.8,0,2,0,3
马恩岛,344,2020.12.8,25,1,0,370
东帝汶,30,2020.12.8,0,1,0,31
苏里南,5208,2020.12.8,117,0,0,5325
钻石公主号邮轮,699,2020.12.8,13,0,0,712
英属维尔京群岛,71,2020.12.8,1,0,0,72
格陵兰岛,18,2020.12.8,0,0,0,18
蒙特塞拉特,12,2020.12.8,1,0,0,13
马绍尔群岛,4,2020.12.8,0,0,0,4
萨摩亚独立国,2,2020.12.8,0,0,0,2
瓦努阿图共和国,1,2020.12.8,0,0,0,1
