country,cured,date,death,exist,increase,total
中国,87570,2020.11.30,4750,1145,94,93465
美国,8107270,2020.11.30,273077,5370261,138096,13750608
法国,161427,2020.11.30,52325,2004731,9784,2218483
英国,3514,2020.11.30,58245,1555568,12155,1617327
西班牙,196958,2020.11.30,44668,1404566,0,1646192
意大利,734503,2020.11.30,54904,795771,20646,1585178
巴西,5578118,2020.11.30,172848,563774,24468,6314740
比利时,37383,2020.11.30,16547,522669,3619,576599
荷兰,6921,2020.11.30,9349,502640,5585,518910
俄罗斯,1778704,2020.11.30,39895,477055,26683,2295654
印度,8847600,2020.11.30,137177,447298,39036,9432075
波兰,559429,2020.11.30,17029,408617,11483,985075
乌克兰,345149,2020.11.30,12327,375149,12978,732625
德国,722300,2020.11.30,16533,316774,13637,1055607
伊朗,658292,2020.11.30,47874,242583,12950,948749
瑞典,4971,2020.11.30,6681,231477,0,243129
土耳其,400242,2020.11.30,13558,193828,29281,607628
墨西哥,818397,2020.11.30,105655,183019,10008,1107071
匈牙利,63860,2020.11.30,4823,148439,6819,217122
塞尔维亚,31536,2020.11.30,1549,136129,6179,169214
阿根廷,1249843,2020.11.30,38473,130491,5432,1418807
罗马尼亚,348852,2020.11.30,11193,111491,5554,471536
希腊,9989,2020.11.30,2321,91917,1747,104227
瑞士,222100,2020.11.30,4650,91540,0,318290
保加利亚,48594,2020.11.30,3814,90078,1792,142486
葡萄牙,209534,2020.11.30,4427,80838,4093,294799
孟加拉国,378172,2020.11.30,6609,77626,1788,462407
印度尼西亚,450518,2020.11.30,16945,71420,6267,538883
哥伦比亚,1204452,2020.11.30,36584,67340,8763,1308376
捷克,444406,2020.11.30,8138,67179,1074,519723
加拿大,294411,2020.11.30,12032,63835,5632,370278
约旦,148572,2020.11.30,2694,63041,3598,214307
奥地利,216998,2020.11.30,3105,59605,4047,279708
伊拉克,480903,2020.11.30,12224,57308,1614,550435
洪都拉斯,47680,2020.11.30,2909,57299,379,107888
哥斯达黎加,84991,2020.11.30,1690,50412,0,137093
黎巴嫩,76774,2020.11.30,1004,49166,0,126944
巴基斯坦,341423,2020.11.30,8025,48576,2829,398024
爱尔兰,23364,2020.11.30,2052,46825,243,72241
立陶宛,14211,2020.11.30,506,46608,0,61325
摩洛哥,302314,2020.11.30,5789,45700,4115,353803
阿塞拜疆,73676,2020.11.30,1361,43158,4170,118195
斯洛伐克,64197,2020.11.30,816,40720,1101,105733
埃塞俄比亚,69315,2020.11.30,1700,38519,0,109534
南非,730633,2020.11.30,21477,35592,2563,787702
秘鲁,893061,2020.11.30,35923,33546,2162,962530
波黑,51479,2020.11.30,2620,33275,664,87374
利比亚,53266,2020.11.30,1166,27998,0,82430
肯尼亚,54975,2020.11.30,1452,26889,711,83316
阿尔及利亚,53204,2020.11.30,2410,26607,1044,82221
多米尼加,114818,2020.11.30,2330,26325,820,143473
菲律宾,398658,2020.11.30,8392,24580,2067,431630
亚美尼亚,108442,2020.11.30,2164,24518,1174,135124
日本,121891,2020.11.30,2126,23551,2066,147568
突尼斯,69624,2020.11.30,3219,23408,0,96251
克罗地亚,101838,2020.11.30,1712,23062,2919,126612
巴拉圭,57947,2020.11.30,1743,22216,0,81906
北马其顿,38400,2020.11.30,1731,21412,0,61543
白俄罗斯,113375,2020.11.30,1151,20482,1684,135008
格鲁吉亚,113986,2020.11.30,1267,20331,4426,135584
斯洛文尼亚,53687,2020.11.30,1384,20310,1124,75381
巴勒斯坦,63834,2020.11.30,717,19034,1695,83585
缅甸,68910,2020.11.30,1918,18658,0,89486
阿尔巴尼亚,18481,2020.11.30,798,18346,835,37625
巴拿马,143616,2020.11.30,3060,18053,1709,164729
尼泊尔,212590,2020.11.30,1479,17909,1255,231978
丹麦,62514,2020.11.30,829,16009,998,79352
拉脱维亚,1719,2020.11.30,197,15059,414,16975
挪威,20956,2020.11.30,328,14544,338,35828
玻利维亚,121472,2020.11.30,8952,14198,98,144622
哈萨克斯坦,116461,2020.11.30,1990,13208,826,131659
阿拉伯联合酋长国,154185,2020.11.30,570,12998,1251,167753
马来西亚,52647,2020.11.30,357,11481,1309,64485
乌干达,8989,2020.11.30,201,10955,0,20145
黑山,23484,2020.11.30,487,10910,618,34881
卢森堡,24073,2020.11.30,312,10154,565,34539
摩尔多瓦,94586,2020.11.30,2290,10141,0,107017
以色列,323219,2020.11.30,2864,9897,1186,335980
智利,525212,2020.11.30,15356,9862,1489,550430
法属波利尼西亚,4842,2020.11.30,73,9181,0,14096
厄瓜多尔,169804,2020.11.30,13423,8890,1375,192117
塞浦路斯,2057,2020.11.30,48,8278,248,10383
阿富汗,36731,2020.11.30,1763,7721,249,46215
芬兰,16800,2020.11.30,393,7436,322,24629
吉尔吉斯斯坦,64149,2020.11.30,1271,7387,456,72807
危地马拉,110588,2020.11.30,4166,7217,666,121971
阿曼,114963,2020.11.30,1418,7103,905,123484
安哥拉,7763,2020.11.30,346,6994,0,15103
斯里兰卡,17002,2020.11.30,116,6366,709,23484
埃及,102596,2020.11.30,6636,6309,0,115541
韩国,27625,2020.11.30,526,6050,826,34201
苏丹,10175,2020.11.30,1235,5994,540,17404
瓜德罗普,2242,2020.11.30,149,5953,0,8344
马提尼克,98,2020.11.30,40,5275,0,5413
科威特,136413,2020.11.30,878,5135,0,142426
爱沙尼亚,7010,2020.11.30,112,4930,0,12052
沙特阿拉伯,346409,2020.11.30,5884,4835,217,357128
委内瑞拉,96652,2020.11.30,894,4494,0,102040
牙买加,6066,2020.11.30,256,4387,0,10709
叙利亚,3500,2020.11.30,413,3884,80,7797
尼日利亚,63055,2020.11.30,1173,3184,110,67412
中非共和国,1924,2020.11.30,63,2926,0,4913
卡塔尔,135862,2020.11.30,237,2549,171,138648
博茨瓦纳,7717,2020.11.30,31,2510,0,10258
伯利兹,3131,2020.11.30,147,2465,0,5743
萨尔瓦多,35078,2020.11.30,1114,2213,0,38405
马约特,2964,2020.11.30,49,2168,0,5181
乌兹别克斯坦,70198,2020.11.30,608,2114,171,72920
马耳他,7557,2020.11.30,133,2062,143,9752
莫桑比克,13677,2020.11.30,130,1806,107,15613
喀麦隆,22177,2020.11.30,437,1503,0,24117
巴哈马,5867,2020.11.30,163,1487,0,7517
巴林,84977,2020.11.30,341,1469,130,86787
澳大利亚,25595,2020.11.30,908,1399,0,27902
尼加拉瓜,4225,2020.11.30,160,1399,0,5784
乌拉圭,4267,2020.11.30,76,1373,208,5716
马里,3178,2020.11.30,152,1358,92,4688
库拉索,1138,2020.11.30,4,1222,101,2364
津巴布韦,8482,2020.11.30,276,1192,108,9950
法属圭亚那,9995,2020.11.30,70,1114,0,11179
海地,7951,2020.11.30,232,1089,8,9272
马尔代夫,11902,2020.11.30,46,1046,14,12994
几内亚,12004,2020.11.30,76,1017,0,13097
索马里,3417,2020.11.30,113,921,0,4451
圭亚那合作共和国,4346,2020.11.30,150,880,28,5376
安道尔,5794,2020.11.30,76,842,0,6712
加纳,50450,2020.11.30,323,796,97,51569
特立尼达和多巴哥,5745,2020.11.30,120,795,44,6660
莱索托,1278,2020.11.30,44,787,0,2109
刚果（金）,11585,2020.11.30,333,784,0,12702
纳米比亚,13439,2020.11.30,151,755,0,14345
留尼汪岛,7172,2020.11.30,40,728,0,7940
刚果（布）,4988,2020.11.30,94,692,0,5774
毛里塔尼亚,7717,2020.11.30,175,655,34,8547
古巴,7586,2020.11.30,134,513,0,8233
塔吉克斯坦,11559,2020.11.30,86,510,37,12155
塞拉利昂,1836,2020.11.30,74,501,0,2411
蒙古国,354,2020.11.30,0,437,0,791
多哥,2464,2020.11.30,64,434,20,2962
马达加斯加,16657,2020.11.30,251,433,0,17341
佛得角,10229,2020.11.30,105,413,74,10747
卢旺达,5480,2020.11.30,48,391,19,5919
马拉维,5453,2020.11.30,185,387,1,6025
坦桑尼亚,183,2020.11.30,21,305,0,509
斯威士兰,5996,2020.11.30,121,293,44,6410
赞比亚,16983,2020.11.30,357,268,19,17608
圣马力诺,1285,2020.11.30,45,256,0,1586
尼日尔,1207,2020.11.30,70,239,12,1516
科特迪瓦,20947,2020.11.30,131,232,29,21310
列支敦士登,1024,2020.11.30,15,214,0,1253
布基纳法索,2593,2020.11.30,68,195,1,2856
海峡群岛,975,2020.11.30,48,195,0,1218
冰岛,5168,2020.11.30,26,187,10,5381
利比里亚,1343,2020.11.30,83,169,0,1595
圣卢西亚,109,2020.11.30,2,146,6,257
塞内加尔,15597,2020.11.30,333,145,48,16075
泰国,3803,2020.11.30,60,135,11,3998
越南,1179,2020.11.30,35,129,2,1343
阿鲁巴,4679,2020.11.30,45,114,0,4838
贝宁,2819,2020.11.30,43,112,0,2974
布隆迪,575,2020.11.30,1,105,0,681
加蓬,9037,2020.11.30,59,95,0,9191
南苏丹,2954,2020.11.30,61,94,0,3109
圣马丁岛,947,2020.11.30,25,90,9,1062
厄立特里亚,498,2020.11.30,0,79,0,577
直布罗陀,932,2020.11.30,5,77,5,1014
新西兰,1959,2020.11.30,25,72,0,2056
几内亚比绍,2309,2020.11.30,43,70,0,2422
摩纳哥,537,2020.11.30,3,68,0,608
乍得,1515,2020.11.30,101,66,0,1682
新加坡,58124,2020.11.30,29,65,8,58218
赤道几内亚,5009,2020.11.30,85,59,0,5153
也门,1504,2020.11.30,617,56,0,2177
巴布亚新几内亚,588,2020.11.30,7,50,0,645
毛里求斯,443,2020.11.30,10,48,0,501
圣多美和普林西比,930,2020.11.30,17,42,4,989
钻石公主号邮轮,659,2020.11.30,13,40,0,712
吉布提,5577,2020.11.30,61,39,1,5677
特克斯和凯科斯群岛,706,2020.11.30,6,36,0,748
圣巴泰勒米岛,94,2020.11.30,0,33,0,127
百慕大,213,2020.11.30,9,29,9,251
柬埔寨,301,2020.11.30,0,22,7,323
多米尼克,63,2020.11.30,0,22,0,85
冈比亚,3591,2020.11.30,123,20,3,3734
开曼群岛,252,2020.11.30,2,20,0,274
不丹,377,2020.11.30,0,19,0,396
科摩罗,586,2020.11.30,7,18,0,611
巴巴多斯,250,2020.11.30,7,18,5,275
老挝,26,2020.11.30,0,13,0,39
梵蒂冈,15,2020.11.30,0,12,0,27
所罗门群岛,5,2020.11.30,0,12,0,17
塞舌尔,162,2020.11.30,0,11,0,173
格林纳达,30,2020.11.30,0,11,0,41
安提瓜和巴布达,130,2020.11.30,4,7,0,141
马恩岛,338,2020.11.30,25,6,0,369
圣文森特和格林纳丁斯,79,2020.11.30,0,6,0,85
法罗群岛,498,2020.11.30,0,4,0,502
圣皮埃尔,12,2020.11.30,0,4,0,16
苏里南,5192,2020.11.30,117,3,1,5312
斐济,33,2020.11.30,2,3,0,38
圣基茨和尼维斯,19,2020.11.30,0,3,0,22
马尔维纳斯群岛,13,2020.11.30,0,3,0,16
安圭拉,3,2020.11.30,0,3,0,6
文莱,145,2020.11.30,3,2,0,150
瓦利斯和富图纳群岛,1,2020.11.30,0,2,0,3
萨摩亚独立国,0,2020.11.30,0,2,0,2
瓦努阿图共和国,0,2020.11.30,0,1,0,1
英属维尔京群岛,70,2020.11.30,1,0,0,71
新喀里多尼亚,32,2020.11.30,0,0,0,32
东帝汶,30,2020.11.30,0,0,0,30
格陵兰岛,18,2020.11.30,0,0,0,18
蒙特塞拉特,12,2020.11.30,1,0,0,13
马绍尔群岛,4,2020.11.30,0,0,0,4
