country,cured,date,death,exist,increase,total
中国,87761,2020.12.4,4753,1509,64,94023
美国,8561427,2020.12.4,282829,5690940,201375,14535196
法国,166940,2020.12.4,54140,2036251,14064,2257331
英国,3623,2020.12.4,60113,1610398,31048,1674134
西班牙,196958,2020.12.4,46038,1450595,9331,1693591
意大利,846809,2020.12.4,58038,759982,20709,1664829
巴西,5725010,2020.12.4,175307,587199,48124,6487516
比利时,38577,2020.12.4,17033,529247,3040,584857
荷兰,7129,2020.12.4,9565,521356,5606,538050
俄罗斯,1888752,2020.12.4,42176,472021,28145,2402949
印度,9016289,2020.12.4,139227,416264,33203,9571780
乌克兰,397809,2020.12.4,13195,376887,14496,787891
波兰,666413,2020.12.4,19359,356074,14863,1041846
德国,800000,2020.12.4,18260,310482,23428,1128742
土耳其,418331,2020.12.4,14316,300614,31923,733261
瑞典,4971,2020.12.4,7007,260665,6485,272643
伊朗,708106,2020.12.4,49695,259034,13922,1016835
墨西哥,843231,2020.12.4,108173,193239,11251,1144643
塞尔维亚,31536,2020.12.4,1765,165857,7802,199158
匈牙利,68525,2020.12.4,5513,164018,6635,238056
阿根廷,1274675,2020.12.4,39305,133752,7533,1447732
希腊,9989,2020.12.4,2706,98842,1882,111537
罗马尼亚,390212,2020.12.4,12052,98009,7661,500273
保加利亚,57141,2020.12.4,4503,93549,3138,155193
印度尼西亚,466178,2020.12.4,17479,80023,8369,563680
瑞士,260600,2020.12.4,5221,78676,4455,344497
孟加拉国,390951,2020.12.4,6772,76268,2316,473991
葡萄牙,229018,2020.12.4,4724,73876,0,307618
哥伦比亚,1233115,2020.12.4,37305,72902,9297,1343322
加拿大,314608,2020.12.4,12407,69255,6409,396270
捷克,468302,2020.12.4,8641,60720,4568,537663
伊拉克,487863,2020.12.4,12361,58543,2039,558767
洪都拉斯,48953,2020.12.4,2938,57869,891,109760
约旦,173369,2020.12.4,2909,54959,4029,231237
巴基斯坦,350305,2020.12.4,8260,51507,3499,410072
阿塞拜疆,81234,2020.12.4,1510,50989,4189,133733
奥地利,243775,2020.12.4,3651,49819,3969,297245
哥斯达黎加,91424,2020.12.4,1757,49324,1168,142505
爱尔兰,23364,2020.12.4,2080,47784,268,73228
黎巴嫩,84142,2020.12.4,1067,47608,1842,132817
摩洛哥,318987,2020.12.4,6063,43574,4346,368624
立陶宛,27760,2020.12.4,590,41232,2445,69582
南非,739367,2020.12.4,21803,39702,4173,800872
斯洛伐克,77142,2020.12.4,957,35293,1982,113392
波黑,56050,2020.12.4,2812,32677,1161,91539
埃塞俄比亚,77385,2020.12.4,1724,32470,430,111579
秘鲁,901544,2020.12.4,36104,31198,1847,968846
菲律宾,399345,2020.12.4,8509,28491,1056,436345
肯尼亚,56464,2020.12.4,1500,28419,1253,86383
利比亚,56048,2020.12.4,1219,28262,762,85529
阿尔及利亚,55538,2020.12.4,2480,27909,932,85927
多米尼加,115992,2020.12.4,2335,27682,812,146009
日本,131176,2020.12.4,2298,24886,2508,158360
格鲁吉亚,126904,2020.12.4,1425,24375,4260,152704
克罗地亚,117148,2020.12.4,2032,24190,4534,143370
巴勒斯坦,70206,2020.12.4,797,23673,2516,94676
巴拉圭,60086,2020.12.4,1796,23595,1003,85477
亚美尼亚,114990,2020.12.4,2277,22425,1277,139692
突尼斯,73607,2020.12.4,3359,22314,1208,99280
北马其顿,41656,2020.12.4,1847,21728,945,65231
白俄罗斯,118924,2020.12.4,1181,21504,1701,141609
斯洛文尼亚,59469,2020.12.4,1592,20288,1772,81349
巴拿马,148396,2020.12.4,3141,19682,2028,171219
缅甸,73748,2020.12.4,2028,19242,1418,95018
阿尔巴尼亚,20484,2020.12.4,852,19165,782,40501
拉脱维亚,1848,2020.12.4,235,17224,930,19307
丹麦,67416,2020.12.4,858,16866,1605,85140
尼泊尔,221847,2020.12.4,1567,15447,1343,238861
阿拉伯联合酋长国,157035,2020.12.4,585,15131,1317,172751
哈萨克斯坦,118643,2020.12.4,1990,14073,769,134706
厄瓜多尔,169804,2020.12.4,13612,12468,1203,195884
摩尔多瓦,97549,2020.12.4,2363,12395,1727,112307
乌干达,9110,2020.12.4,206,12296,374,21612
玻利维亚,124015,2020.12.4,8982,12189,184,145186
以色列,326966,2020.12.4,2896,11898,1676,341760
马来西亚,59061,2020.12.4,376,10799,1075,70236
黑山,25866,2020.12.4,516,10550,502,36932
法属波利尼西亚,4842,2020.12.4,78,9977,157,14897
挪威,27414,2020.12.4,353,9604,347,37371
智利,530470,2020.12.4,15519,9417,0,555406
塞浦路斯,2057,2020.12.4,54,9412,292,11523
卢森堡,27356,2020.12.4,339,8734,673,36429
芬兰,18100,2020.12.4,408,8250,540,26758
阿富汗,37347,2020.12.4,1847,8194,278,47388
埃及,103082,2020.12.4,6713,7361,421,117156
韩国,28611,2020.12.4,536,7185,540,36332
危地马拉,112719,2020.12.4,4209,7125,593,124053
阿曼,115866,2020.12.4,1435,7028,184,124329
吉尔吉斯斯坦,66113,2020.12.4,1285,6975,420,74373
安哥拉,8244,2020.12.4,352,6765,68,15361
苏丹,10672,2020.12.4,1271,6592,209,18535
斯里兰卡,19438,2020.12.4,129,6471,878,26038
瓜德罗普,2242,2020.12.4,149,6036,0,8427
马提尼克,98,2020.12.4,41,5381,0,5520
爱沙尼亚,8549,2020.12.4,125,5265,450,13939
沙特阿拉伯,347881,2020.12.4,5930,4291,230,358102
委内瑞拉,98521,2020.12.4,909,4118,446,103548
牙买加,6614,2020.12.4,259,4038,47,10911
科威特,138674,2020.12.4,884,4016,314,143574
叙利亚,3748,2020.12.4,432,3967,86,8147
伯利兹,3571,2020.12.4,164,3501,0,7236
中非共和国,1924,2020.12.4,63,2931,0,4918
尼日利亚,64291,2020.12.4,1179,2833,122,68303
博茨瓦纳,8978,2020.12.4,34,2519,0,11531
卡塔尔,136741,2020.12.4,239,2497,221,139477
萨尔瓦多,36286,2020.12.4,1142,2290,0,39718
马约特,2964,2020.12.4,49,2168,0,5181
乌兹别克斯坦,70861,2020.12.4,611,2120,96,73592
马耳他,8015,2020.12.4,148,2034,96,10197
喀麦隆,22177,2020.12.4,441,1869,0,24487
莫桑比克,14030,2020.12.4,132,1756,0,15918
乌拉圭,4707,2020.12.4,80,1668,201,6455
巴林,85598,2020.12.4,341,1493,133,87432
库拉索,1245,2020.12.4,7,1488,155,2740
巴哈马,5934,2020.12.4,163,1452,0,7549
尼加拉瓜,4225,2020.12.4,161,1452,0,5838
马里,3281,2020.12.4,162,1437,75,4880
澳大利亚,25629,2020.12.4,908,1412,16,27949
津巴布韦,8754,2020.12.4,280,1390,0,10424
法属圭亚那,9995,2020.12.4,70,1253,43,11318
刚果（金）,11753,2020.12.4,337,1042,128,13132
毛里塔尼亚,7785,2020.12.4,181,1039,153,9005
海地,8114,2020.12.4,233,984,17,9331
索马里,3480,2020.12.4,121,924,0,4525
马尔代夫,12154,2020.12.4,47,905,21,13106
留尼汪岛,7172,2020.12.4,40,890,48,8102
几内亚,12270,2020.12.4,76,840,24,13186
莱索托,1278,2020.12.4,44,823,8,2145
加纳,50547,2020.12.4,323,797,0,51667
安道尔,6066,2020.12.4,77,761,52,6904
圭亚那合作共和国,4618,2020.12.4,151,759,26,5528
特立尼达和多巴哥,5861,2020.12.4,121,743,19,6725
刚果（布）,4988,2020.12.4,94,692,0,5774
纳米比亚,13774,2020.12.4,151,674,61,14599
古巴,7770,2020.12.4,136,625,75,8531
马达加斯加,16657,2020.12.4,255,601,0,17513
塔吉克斯坦,11718,2020.12.4,87,503,38,12308
塞拉利昂,1840,2020.12.4,74,502,3,2416
蒙古国,365,2020.12.4,0,466,7,831
多哥,2567,2020.12.4,65,407,17,3039
海峡群岛,1012,2020.12.4,48,398,56,1458
马拉维,5472,2020.12.4,185,386,0,6043
佛得角,10454,2020.12.4,107,377,51,10938
卢旺达,5596,2020.12.4,50,365,46,6011
尼日尔,1227,2020.12.4,76,337,54,1640
布基纳法索,2679,2020.12.4,68,315,79,3062
圣马力诺,1356,2020.12.4,46,312,27,1714
斯威士兰,6044,2020.12.4,122,308,13,6474
坦桑尼亚,183,2020.12.4,21,305,0,509
赞比亚,17102,2020.12.4,357,271,30,17730
塞内加尔,15707,2020.12.4,336,254,44,16297
科特迪瓦,21022,2020.12.4,132,235,27,21389
利比里亚,1358,2020.12.4,83,222,0,1663
冰岛,5216,2020.12.4,27,205,35,5448
泰国,3839,2020.12.4,60,154,13,4053
列支敦士登,1169,2020.12.4,17,153,21,1339
阿鲁巴,4733,2020.12.4,45,145,30,4923
圣卢西亚,141,2020.12.4,2,119,2,262
越南,1209,2020.12.4,35,117,3,1361
布隆迪,575,2020.12.4,1,116,0,692
南苏丹,2977,2020.12.4,62,115,7,3154
贝宁,2907,2020.12.4,44,104,40,3055
厄立特里亚,498,2020.12.4,0,96,0,594
加蓬,9089,2020.12.4,60,90,25,9239
也门,1525,2020.12.4,624,90,20,2239
圣马丁岛,993,2020.12.4,25,87,23,1105
直布罗陀,960,2020.12.4,5,73,3,1038
几内亚比绍,2327,2020.12.4,44,70,0,2441
新加坡,58145,2020.12.4,29,68,9,58242
乍得,1539,2020.12.4,102,67,5,1708
巴布亚新几内亚,597,2020.12.4,7,67,0,671
新西兰,1983,2020.12.4,25,61,9,2069
摩纳哥,570,2020.12.4,3,57,4,630
赤道几内亚,5023,2020.12.4,85,51,0,5159
百慕大,216,2020.12.4,9,47,5,272
圣多美和普林西比,937,2020.12.4,17,43,1,997
圣巴泰勒米岛,105,2020.12.4,1,41,0,147
吉布提,5591,2020.12.4,61,37,2,5689
冈比亚,3610,2020.12.4,123,34,22,3767
毛里求斯,465,2020.12.4,10,33,3,508
不丹,386,2020.12.4,0,32,1,418
柬埔寨,304,2020.12.4,0,31,2,335
开曼群岛,257,2020.12.4,2,29,0,288
多米尼克,63,2020.12.4,0,22,0,85
塞舌尔,162,2020.12.4,0,21,0,183
科摩罗,590,2020.12.4,7,18,0,615
巴巴多斯,257,2020.12.4,7,17,1,281
老挝,26,2020.12.4,0,13,0,39
特克斯和凯科斯群岛,733,2020.12.4,6,12,1,751
梵蒂冈,15,2020.12.4,0,12,0,27
所罗门群岛,5,2020.12.4,0,12,0,17
格林纳达,30,2020.12.4,0,11,0,41
斐济,33,2020.12.4,2,9,0,44
安提瓜和巴布达,133,2020.12.4,4,7,2,144
圣文森特和格林纳丁斯,80,2020.12.4,0,7,0,87
法罗群岛,500,2020.12.4,0,5,0,505
安圭拉,3,2020.12.4,0,4,0,7
圣基茨和尼维斯,19,2020.12.4,0,3,0,22
苏里南,5203,2020.12.4,117,2,1,5322
文莱,146,2020.12.4,3,2,0,151
新喀里多尼亚,32,2020.12.4,0,2,0,34
马尔维纳斯群岛,15,2020.12.4,0,2,1,17
圣皮埃尔,14,2020.12.4,0,2,0,16
瓦利斯和富图纳群岛,1,2020.12.4,0,2,0,3
萨摩亚独立国,0,2020.12.4,0,2,0,2
东帝汶,30,2020.12.4,0,1,1,31
钻石公主号邮轮,699,2020.12.4,13,0,0,712
马恩岛,344,2020.12.4,25,0,0,369
英属维尔京群岛,71,2020.12.4,1,0,0,72
格陵兰岛,18,2020.12.4,0,0,0,18
蒙特塞拉特,12,2020.12.4,1,0,0,13
马绍尔群岛,4,2020.12.4,0,0,0,4
瓦努阿图共和国,1,2020.12.4,0,0,0,1
