country,cured,date,death,exist,increase,total
几内亚比绍,2327,2020.12.5,44,70,0,2441
直布罗陀,969,2020.12.5,5,68,4,1042
巴布亚新几内亚,597,2020.12.5,7,67,2,671
乍得,1555,2020.12.5,102,62,3,1719
新西兰,1994,2020.12.5,25,59,0,2078
摩纳哥,571,2020.12.5,3,56,9,630
百慕大,216,2020.12.5,9,53,5,278
赤道几内亚,5023,2020.12.5,85,51,3,5159
圣多美和普林西比,937,2020.12.5,17,45,0,999
圣巴泰勒米岛,105,2020.12.5,1,41,0,147
柬埔寨,305,2020.12.5,0,40,4,345
吉布提,5592,2020.12.5,61,37,7,5690
不丹,387,2020.12.5,0,37,3,424
毛里求斯,465,2020.12.5,10,33,0,508
冈比亚,3613,2020.12.5,123,32,2,3768
开曼群岛,257,2020.12.5,2,29,3,288
巴巴多斯,257,2020.12.5,7,20,2,284
科摩罗,590,2020.12.5,7,18,2,615
塞舌尔,168,2020.12.5,0,16,1,184
多米尼克,72,2020.12.5,0,13,0,85
老挝,26,2020.12.5,0,13,0,39
梵蒂冈,15,2020.12.5,0,12,0,27
所罗门群岛,5,2020.12.5,0,12,0,17
特克斯和凯科斯群岛,738,2020.12.5,6,11,0,755
斐济,33,2020.12.5,2,9,2,44
安提瓜和巴布达,133,2020.12.5,4,7,0,144
圣文森特和格林纳丁斯,80,2020.12.5,0,7,2,87
法罗群岛,500,2020.12.5,0,5,2,505
安圭拉,3,2020.12.5,0,4,1,7
新喀里多尼亚,32,2020.12.5,0,3,1,35
圣基茨和尼维斯,19,2020.12.5,0,3,0,22
文莱,146,2020.12.5,3,2,0,151
格林纳达,39,2020.12.5,0,2,0,41
马尔维纳斯群岛,15,2020.12.5,0,2,0,17
圣皮埃尔,14,2020.12.5,0,2,0,16
瓦利斯和富图纳群岛,1,2020.12.5,0,2,0,3
马恩岛,344,2020.12.5,25,1,0,370
东帝汶,30,2020.12.5,0,1,0,31
苏里南,5205,2020.12.5,117,0,2,5322
钻石公主号邮轮,699,2020.12.5,13,0,0,712
英属维尔京群岛,71,2020.12.5,1,0,0,72
格陵兰岛,18,2020.12.5,0,0,0,18
蒙特塞拉特,12,2020.12.5,1,0,0,13
马绍尔群岛,4,2020.12.5,0,0,0,4
萨摩亚独立国,2,2020.12.5,0,0,0,2
瓦努阿图共和国,1,2020.12.5,0,0,0,1
