country,cured,date,death,exist,increase,total
中国,87448,2020.11.29,4749,911,,93108
美国,7817674,2020.11.29,268949,5110684,171907,13197307
法国,158236,2020.11.29,50957,1974467,16282,2183660
英国,3445,2020.11.29,57031,1514086,18213,1574562
西班牙,196958,2020.11.29,44374,1396512,8506,1637844
意大利,637149,2020.11.29,52028,791697,23227,1480874
比利时,36569,2020.11.29,16077,512321,3164,564967
荷兰,6763,2020.11.29,9184,487176,4470,503123
巴西,5512847,2020.11.29,170832,487148,45449,6170827
俄罗斯,1685492,2020.11.29,38062,464436,25487,2187990
印度,8716566,2020.11.29,135734,456451,45960,9308751
波兰,494869,2020.11.29,15568,430675,16690,941112
乌克兰,317395,2020.11.29,11717,348077,15331,677189
德国,676100,2020.11.29,15645,306292,19721,998037
伊朗,633275,2020.11.29,46689,228382,13961,908346
瑞典,4971,2020.11.29,6622,224762,5841,236355
墨西哥,798037,2020.11.29,103597,168853,10335,1070487
匈牙利,49616,2020.11.29,4229,138202,6360,192047
阿根廷,1217284,2020.11.29,37714,135390,8593,1390388
塞尔维亚,31536,2020.11.29,1366,115312,7606,148214
罗马尼亚,323514,2020.11.29,10712,115123,9005,449349
土耳其,388771,2020.11.29,13014,101953,6814,503738
瑞士,218900,2020.11.29,4451,90627,4509,313978
希腊,9989,2020.11.29,2001,87316,0,99306
保加利亚,42620,2020.11.29,3367,87073,3712,133060
葡萄牙,193944,2020.11.29,4209,82241,6383,280394
孟加拉国,371453,2020.11.29,6524,78461,2292,456438
捷克,425542,2020.11.29,7751,76372,5015,509665
奥地利,196342,2020.11.29,2773,66923,0,266038
印度尼西亚,433649,2020.11.29,16352,66752,4917,516753
约旦,135650,2020.11.29,2509,64862,5000,203021
哥伦比亚,1174959,2020.11.29,35860,60172,8497,1270991
加拿大,279539,2020.11.29,11763,59120,3649,350422
伊拉克,474376,2020.11.29,12125,58169,2483,544670
洪都拉斯,47006,2020.11.29,2888,56222,544,106116
哥斯达黎加,82611,2020.11.29,1674,50235,1330,134520
黎巴嫩,72152,2020.11.29,974,49074,1636,122200
爱尔兰,23364,2020.11.29,2036,46094,257,71494
摩洛哥,289808,2020.11.29,5619,45257,4979,340684
斯洛伐克,56378,2020.11.29,749,44130,1953,101257
巴基斯坦,334392,2020.11.29,7843,43963,3306,386198
立陶宛,12655,2020.11.29,449,40653,2102,53757
埃塞俄比亚,67001,2020.11.29,1672,38996,518,107669
南非,716444,2020.11.29,21201,37857,3250,775502
阿塞拜疆,68572,2020.11.29,1256,36273,3705,106101
秘鲁,884747,2020.11.29,35727,33985,2020,954459
波黑,48780,2020.11.29,2480,32992,924,84252
菲律宾,387266,2020.11.29,8242,28789,1382,424297
利比亚,51585,2020.11.29,1140,27682,610,80407
亚美尼亚,103055,2020.11.29,2068,25747,1785,130870
肯尼亚,53526,2020.11.29,1427,25149,780,80102
阿尔及利亚,50712,2020.11.29,2329,24984,0,78025
多米尼加,113687,2020.11.29,2317,24918,0,140922
突尼斯,66459,2020.11.29,2983,21865,1094,91307
日本,116378,2020.11.29,2065,21845,1940,140288
克罗地亚,92349,2020.11.29,1552,21725,4009,115626
巴拉圭,56025,2020.11.29,1691,21162,987,78878
北马其顿,34970,2020.11.29,1600,20881,1287,57451
斯洛文尼亚,49654,2020.11.29,1245,20174,1767,71073
白俄罗斯,108769,2020.11.29,1128,20115,1563,130012
格鲁吉亚,98781,2020.11.29,1124,18785,3801,118690
缅甸,64645,2020.11.29,1846,18714,1639,85205
阿尔巴尼亚,17352,2020.11.29,753,17495,656,35600
尼泊尔,209435,2020.11.29,1412,16793,1614,227640
巴勒斯坦,61241,2020.11.29,680,16572,1766,78493
巴拿马,139356,2020.11.29,3002,16174,1602,158532
丹麦,59250,2020.11.29,811,15334,1191,75395
玻利维亚,120209,2020.11.29,8933,15134,129,144276
拉脱维亚,1719,2020.11.29,188,13264,898,15171
挪威,20956,2020.11.29,316,12996,280,34268
哈萨克斯坦,114821,2020.11.29,1990,11589,820,128400
阿拉伯联合酋长国,151870,2020.11.29,564,11533,0,163967
马来西亚,49056,2020.11.29,348,11348,935,60752
黑山,21721,2020.11.29,469,11126,620,33316
厄瓜多尔,164009,2020.11.29,13316,10813,794,188138
摩尔多瓦,90485,2020.11.29,2229,10180,1691,102894
乌干达,8832,2020.11.29,191,9867,484,18890
以色列,320078,2020.11.29,2827,9515,1121,332420
智利,521247,2020.11.29,15235,9180,0,545662
卢森堡,23404,2020.11.29,294,9175,616,32873
法属波利尼西亚,4842,2020.11.29,70,8871,266,13783
阿富汗,36232,2020.11.29,1737,7747,226,45716
吉尔吉斯斯坦,62544,2020.11.29,1251,7376,427,71171
塞浦路斯,2055,2020.11.29,47,7351,254,9453
阿曼,113856,2020.11.29,1391,7332,0,122579
危地马拉,109306,2020.11.29,4133,7246,696,120685
安哥拉,7517,2020.11.29,340,6964,79,14821
斯里兰卡,15816,2020.11.29,99,6113,550,22028
芬兰,16800,2020.11.29,388,5960,496,23148
瓜德罗普,2242,2020.11.29,149,5953,0,8344
科威特,134750,2020.11.29,872,5925,330,141547
苏丹,9908,2020.11.29,1210,5531,218,16649
沙特阿拉伯,345215,2020.11.29,5840,5334,322,356389
埃及,102201,2020.11.29,6585,5321,365,114107
马提尼克,98,2020.11.29,40,5275,0,5413
韩国,26950,2020.11.29,515,4853,382,32318
牙买加,5721,2020.11.29,248,4572,53,10541
爱沙尼亚,6497,2020.11.29,99,4359,414,10955
