country,cured,date,death,exist,increase,total
韩国,29301,2020.12.7,549,8311,631,38161
阿富汗,37984,2020.12.7,1902,8247,260,48133
埃及,103501,2020.12.7,6771,8160,431,118432
阿曼,116506,2020.12.7,1452,7157,557,125115
苏丹,11021,2020.12.7,1295,7152,0,19468
危地马拉,114315,2020.12.7,4250,6985,198,125550
斯里兰卡,20804,2020.12.7,140,6933,649,27877
安哥拉,8338,2020.12.7,354,6899,43,15591
吉尔吉斯斯坦,67400,2020.12.7,1297,6698,199,75395
爱沙尼亚,9009,2020.12.7,134,6083,478,15226
瓜德罗普,2242,2020.12.7,149,6036,0,8427
马提尼克,98,2020.12.7,41,5381,0,5520
委内瑞拉,99494,2020.12.7,919,4029,300,104442
叙利亚,3943,2020.12.7,447,4013,87,8403
沙特阿拉伯,348879,2020.12.7,5965,3869,187,358713
牙买加,6998,2020.12.7,265,3857,57,11120
伯利兹,3849,2020.12.7,173,3747,218,7769
科威特,140341,2020.12.7,897,3361,452,144599
尼日利亚,64774,2020.12.7,1180,3301,310,69255
中非共和国,1924,2020.12.7,63,2935,4,4922
博茨瓦纳,8978,2020.12.7,34,2519,0,11531
萨尔瓦多,36525,2020.12.7,1164,2442,413,40131
卡塔尔,137276,2020.12.7,239,2393,125,139908
马约特,2964,2020.12.7,49,2168,0,5181
乌拉圭,5062,2020.12.7,82,2159,234,7303
乌兹别克斯坦,71315,2020.12.7,611,2127,153,74053
马耳他,8497,2020.12.7,155,2007,97,10659
库拉索,1337,2020.12.7,7,1792,121,3136
莫桑比克,14416,2020.12.7,133,1695,206,16244
马里,3369,2020.12.7,164,1602,124,5135
巴林,86030,2020.12.7,341,1559,132,87930
津巴布韦,8880,2020.12.7,291,1547,70,10718
毛里塔尼亚,7849,2020.12.7,188,1479,178,9516
尼加拉瓜,4225,2020.12.7,161,1452,0,5838
澳大利亚,25642,2020.12.7,908,1422,9,27972
巴哈马,5995,2020.12.7,163,1412,5,7570
法属圭亚那,9995,2020.12.7,71,1341,73,11407
刚果（金）,11947,2020.12.7,344,1236,132,13527
海地,8146,2020.12.7,233,991,23,9370
纳米比亚,13939,2020.12.7,152,987,0,15078
喀麦隆,23344,2020.12.7,443,965,0,24752
索马里,3480,2020.12.7,121,924,0,4525
加纳,51063,2020.12.7,325,886,102,52274
马尔代夫,12321,2020.12.7,47,830,16,13198
莱索托,1278,2020.12.7,44,828,0,2150
几内亚,12355,2020.12.7,76,802,26,13233
圭亚那合作共和国,4759,2020.12.7,153,753,36,5665
安道尔,6238,2020.12.7,78,734,50,7050
特立尼达和多巴哥,5937,2020.12.7,122,708,16,6767
刚果（布）,4988,2020.12.7,94,692,0,5774
古巴,7963,2020.12.7,136,683,68,8782
尼日尔,1237,2020.12.7,77,542,63,1856
海峡群岛,1088,2020.12.7,48,509,23,1645
塔吉克斯坦,11833,2020.12.7,87,508,39,12428
塞拉利昂,1846,2020.12.7,74,506,6,2426
蒙古国,384,2020.12.7,0,503,7,887
布基纳法索,2711,2020.12.7,68,433,65,3212
留尼汪岛,7729,2020.12.7,41,430,0,8200
塞内加尔,15806,2020.12.7,340,407,80,16553
马拉维,5476,2020.12.7,185,390,2,6051
卢旺达,5696,2020.12.7,51,382,41,6129
赞比亚,17173,2020.12.7,364,379,59,17916
多哥,2653,2020.12.7,65,377,34,3095
佛得角,10596,2020.12.7,109,358,40,11063
马达加斯加,16927,2020.12.7,255,331,0,17513
圣马力诺,1412,2020.12.7,48,329,0,1789
坦桑尼亚,183,2020.12.7,21,305,0,509
斯威士兰,6090,2020.12.7,122,289,15,6501
科特迪瓦,21109,2020.12.7,132,244,29,21485
利比里亚,1358,2020.12.7,83,235,0,1676
冰岛,5272,2020.12.7,27,197,6,5496
列支敦士登,1183,2020.12.7,17,196,18,1396
泰国,3868,2020.12.7,60,179,14,4107
也门,1549,2020.12.7,639,149,70,2337
南苏丹,2977,2020.12.7,62,142,12,3181
阿鲁巴,4788,2020.12.7,45,132,15,4965
厄立特里亚,508,2020.12.7,0,124,0,632
布隆迪,575,2020.12.7,1,118,2,694
越南,1220,2020.12.7,35,111,1,1366
圣卢西亚,158,2020.12.7,2,105,3,265
贝宁,2907,2020.12.7,44,104,0,3055
圣马丁岛,1017,2020.12.7,26,98,19,1141
加蓬,9106,2020.12.7,60,88,0,9254
新加坡,58160,2020.12.7,29,84,5,58273
几内亚比绍,2327,2020.12.7,44,70,0,2441
巴布亚新几内亚,597,2020.12.7,7,67,0,671
百慕大,216,2020.12.7,9,63,10,288
摩纳哥,574,2020.12.7,3,61,7,638
直布罗陀,990,2020.12.7,5,60,5,1055
乍得,1564,2020.12.7,102,59,3,1725
新西兰,1998,2020.12.7,25,56,0,2079
赤道几内亚,5023,2020.12.7,85,51,0,5159
吉布提,5593,2020.12.7,61,47,11,5701
圣多美和普林西比,937,2020.12.7,17,45,0,999
不丹,388,2020.12.7,0,42,2,430
柬埔寨,306,2020.12.7,0,42,1,348
圣巴泰勒米岛,105,2020.12.7,1,41,0,147
毛里求斯,465,2020.12.7,10,33,0,508
冈比亚,3615,2020.12.7,123,32,2,3770
开曼群岛,257,2020.12.7,2,29,0,288
巴巴多斯,260,2020.12.7,7,18,1,285
塞舌尔,168,2020.12.7,0,16,0,184
老挝,26,2020.12.7,0,15,0,41
多米尼克,72,2020.12.7,0,13,0,85
梵蒂冈,15,2020.12.7,0,12,0,27
所罗门群岛,5,2020.12.7,0,12,0,17
特克斯和凯科斯群岛,740,2020.12.7,6,10,1,756
科摩罗,600,2020.12.7,7,9,0,616
法罗群岛,501,2020.12.7,0,9,4,510
斐济,33,2020.12.7,2,9,0,44
安提瓜和巴布达,134,2020.12.7,4,8,0,146
圣文森特和格林纳丁斯,80,2020.12.7,0,7,0,87
安圭拉,3,2020.12.7,0,6,0,9
圣基茨和尼维斯,20,2020.12.7,0,5,3,25
新喀里多尼亚,32,2020.12.7,0,3,0,35
格林纳达,41,2020.12.7,0,2,0,43
马尔维纳斯群岛,15,2020.12.7,0,2,0,17
圣皮埃尔,14,2020.12.7,0,2,0,16
瓦利斯和富图纳群岛,1,2020.12.7,0,2,0,3
马恩岛,344,2020.12.7,25,1,0,370
文莱,147,2020.12.7,3,1,0,151
东帝汶,30,2020.12.7,0,1,0,31
苏里南,5207,2020.12.7,117,0,2,5324
钻石公主号邮轮,699,2020.12.7,13,0,0,712
英属维尔京群岛,71,2020.12.7,1,0,0,72
格陵兰岛,18,2020.12.7,0,0,0,18
蒙特塞拉特,12,2020.12.7,1,0,0,13
马绍尔群岛,4,2020.12.7,0,0,0,4
萨摩亚独立国,2,2020.12.7,0,0,0,2
瓦努阿图共和国,1,2020.12.7,0,0,0,1
