country,cured,date,death,exist,increase,total
中国,87966,2020.12.7,4753,1653,64,94372
美国,8855593,2020.12.7,288906,6015030,211038,15159529
法国,169586,2020.12.7,55155,2067756,12923,2292497
英国,3736,2020.12.7,61245,1658261,15539,1723242
西班牙,196958,2020.12.7,46252,1455935,0,1699145
意大利,913494,2020.12.7,60078,755306,21052,1728878
巴西,5776182,2020.12.7,176962,650396,42226,6603540
荷兰,7291,2020.12.7,9687,540246,6779,557224
比利时,39267,2020.12.7,17320,535169,2503,591756
俄罗斯,1956588,2020.12.7,43597,488727,29039,2488912
印度,9139933,2020.12.7,140620,398047,41795,9678600
乌克兰,423704,2020.12.7,13733,384510,11590,821947
土耳其,431253,2020.12.7,14900,382142,62298,828295
波兰,722446,2020.12.7,20181,325243,9176,1067870
德国,863300,2020.12.7,19166,302627,18517,1185093
瑞典,4971,2020.12.7,7067,266874,0,278912
伊朗,742955,2020.12.7,50594,257825,11561,1051374
墨西哥,866186,2020.12.7,109717,199947,11625,1175850
塞尔维亚,31536,2020.12.7,1949,186167,5809,219652
匈牙利,74283,2020.12.7,5984,173881,6697,254148
阿根廷,1294692,2020.12.7,39770,128648,5201,1463110
希腊,9989,2020.12.7,3003,102479,1383,115471
罗马尼亚,409121,2020.12.7,12447,95668,5231,517236
保加利亚,62246,2020.12.7,4797,94378,2037,161421
瑞士,260600,2020.12.7,5407,88299,0,354306
印度尼西亚,479202,2020.12.7,17867,84481,6089,581550
哥伦比亚,1257410,2020.12.7,37808,75885,9642,1371103
葡萄牙,243055,2020.12.7,4963,74456,3834,322474
孟加拉国,398623,2020.12.7,6874,74246,1756,479743
加拿大,329138,2020.12.7,12665,73379,8394,415182
捷克,478094,2020.12.7,8902,59837,3318,546833
洪都拉斯,49456,2020.12.7,2946,58621,963,111023
伊拉克,493567,2020.12.7,12432,58201,1680,564200
阿塞拜疆,88497,2020.12.7,1632,56550,4356,146679
巴基斯坦,356542,2020.12.7,8398,55354,3308,420294
约旦,187444,2020.12.7,3056,49589,2576,240089
爱尔兰,23364,2020.12.7,2099,48783,457,74246
南非,744780,2020.12.7,22206,47579,4645,814565
哥斯达黎加,95789,2020.12.7,1773,46123,0,143685
黎巴嫩,90229,2020.12.7,1099,45784,1581,137112
奥地利,256811,2020.12.7,3897,44985,2741,305693
立陶宛,30449,2020.12.7,637,44950,2219,76036
摩洛哥,331301,2020.12.7,6245,42111,4118,379657
波黑,58625,2020.12.7,2952,32930,739,94507
斯洛伐克,84850,2020.12.7,1018,31415,1269,117283
埃塞俄比亚,80831,2020.12.7,1747,30717,649,113295
秘鲁,907654,2020.12.7,36274,29984,1828,973912
多米尼加,116873,2020.12.7,2345,29235,798,148453
阿尔及利亚,57146,2020.12.7,2516,28590,772,88252
利比亚,57380,2020.12.7,1243,28474,1051,87097
格鲁吉亚,137499,2020.12.7,1540,25937,4321,164976
日本,135277,2020.12.7,2359,25306,2025,162942
巴勒斯坦,74053,2020.12.7,848,24857,1940,99758
菲律宾,408702,2020.12.7,8572,24125,1765,441399
巴拉圭,61948,2020.12.7,1853,24119,714,87920
突尼斯,76441,2020.12.7,3561,24000,1091,104002
北马其顿,43646,2020.12.7,1924,22398,981,67968
亚美尼亚,117649,2020.12.7,2344,22351,978,142344
克罗地亚,127882,2020.12.7,2233,22124,2899,152239
白俄罗斯,126084,2020.12.7,1215,21654,1878,148953
巴拿马,152890,2020.12.7,3193,21636,2300,177719
斯洛文尼亚,63999,2020.12.7,1796,20490,1030,86285
阿尔巴尼亚,21617,2020.12.7,905,20466,840,42988
缅甸,77636,2020.12.7,2110,19409,1108,99155
拉脱维亚,1866,2020.12.7,272,19382,526,21520
丹麦,70876,2020.12.7,885,18842,1745,90603
肯尼亚,68929,2020.12.7,1526,17925,0,88380
阿拉伯联合酋长国,159711,2020.12.7,594,17272,1153,177577
哈萨克斯坦,120799,2020.12.7,2034,14150,773,136983
以色列,329586,2020.12.7,2917,13158,2127,345661
乌干达,9175,2020.12.7,206,13118,290,22499
尼泊尔,227433,2020.12.7,1614,12948,1096,241995
摩尔多瓦,101244,2020.12.7,2419,12702,808,116365
玻利维亚,124799,2020.12.7,8995,11766,167,145560
马来西亚,62306,2020.12.7,384,11604,1335,74294
黑山,26999,2020.12.7,533,10714,412,38246
挪威,27414,2020.12.7,354,10555,239,38323
塞浦路斯,2057,2020.12.7,61,10333,369,12451
法属波利尼西亚,4842,2020.12.7,79,10186,0,15107
厄瓜多尔,174188,2020.12.7,13778,10032,909,197998
智利,534789,2020.12.7,15628,9965,1714,560382
卢森堡,28029,2020.12.7,353,9833,667,38215
芬兰,18100,2020.12.7,415,9366,413,27881
