country,cured,date,death,exist,increase,total
中国,87663,2020.12.2,4751,1367,56,93781
美国,8333255,2020.12.2,276979,5498372,13615,14108606
法国,164029,2020.12.2,53506,2013036,4005,2230571
英国,3589,2020.12.2,59051,1580446,0,1643086
西班牙,196958,2020.12.2,45511,1430733,0,1673202
意大利,784595,2020.12.2,56361,779945,0,1620901
巴西,5656498,2020.12.2,173862,558166,0,6388526
比利时,37924,2020.12.2,16786,524502,0,579212
荷兰,7017,2020.12.2,9438,511068,4045,527523
俄罗斯,1830349,2020.12.2,41053,475999,26402,2347401
印度,8932647,2020.12.2,138159,428904,21252,9499710
乌克兰,369054,2020.12.2,12717,376493,0,758264
波兰,622980,2020.12.2,18208,372559,9113,1013747
德国,779500,2020.12.2,17443,291516,5939,1088459
伊朗,688054,2020.12.2,48990,252528,13881,989572
瑞典,4971,2020.12.2,6798,248989,17629,260758
土耳其,409320,2020.12.2,13936,245701,30110,668957
墨西哥,829817,2020.12.2,106765,185780,0,1122362
匈牙利,65888,2020.12.2,5142,154179,0,225209
塞尔维亚,31536,2020.12.2,1652,150249,7999,183437
阿根廷,1263251,2020.12.2,38928,130391,0,1432570
罗马尼亚,371231,2020.12.2,11665,101654,4272,484550
希腊,9989,2020.12.2,2517,94964,0,107470
保加利亚,53000,2020.12.2,4188,91587,0,148775
孟加拉国,385786,2020.12.2,6713,76924,2293,469423
葡萄牙,220877,2020.12.2,4577,75008,2401,300462
印度尼西亚,458880,2020.12.2,17199,73429,5092,549508
瑞士,257600,2020.12.2,4976,73084,3802,335660
哥伦比亚,1217647,2020.12.2,36934,70211,0,1324792
加拿大,304888,2020.12.2,12211,66369,1707,383468
捷克,455177,2020.12.2,8407,64890,0,528474
伊拉克,484570,2020.12.2,12306,57891,2218,554767
约旦,162959,2020.12.2,2802,57856,4187,223617
洪都拉斯,48073,2020.12.2,2918,57262,0,108253
奥地利,233657,2020.12.2,3446,52358,3033,289461
哥斯达黎加,87721,2020.12.2,1731,50720,0,140172
巴基斯坦,345365,2020.12.2,8166,49780,0,403311
阿塞拜疆,79162,2020.12.2,1470,48912,4426,129544
爱尔兰,23364,2020.12.2,2069,47365,0,72798
立陶宛,15077,2020.12.2,519,46919,0,62515
黎巴嫩,83034,2020.12.2,1033,45388,0,129455
摩洛哥,310193,2020.12.2,5915,43736,0,359844
南非,732531,2020.12.2,21644,38124,0,792299
斯洛伐克,71738,2020.12.2,898,36590,1254,109226
埃塞俄比亚,74917,2020.12.2,1709,33928,0,110554
波黑,53724,2020.12.2,2727,32634,0,89085
秘鲁,896978,2020.12.2,36031,32219,0,965228
利比亚,54712,2020.12.2,1200,28175,0,84087
阿尔及利亚,54405,2020.12.2,2447,27300,0,84152
肯尼亚,55610,2020.12.2,1474,27085,551,84169
菲律宾,399005,2020.12.2,8436,26916,1295,434357
多米尼加,115530,2020.12.2,2333,26439,314,144302
日本,125470,2020.12.2,2193,23355,2016,151018
亚美尼亚,111795,2020.12.2,2228,23208,0,137231
巴拉圭,58949,2020.12.2,1771,22759,0,83479
克罗地亚,110355,2020.12.2,1916,22610,2900,134881
巴勒斯坦,66989,2020.12.2,763,22440,2357,90192
突尼斯,72473,2020.12.2,3311,22288,0,98072
白俄罗斯,115587,2020.12.2,1166,21466,1572,138219
北马其顿,40188,2020.12.2,1792,20965,0,62945
斯洛文尼亚,57447,2020.12.2,1547,20569,1292,79563
格鲁吉亚,121621,2020.12.2,1342,20413,0,143376
缅甸,71343,2020.12.2,1972,18874,1476,92189
阿尔巴尼亚,19384,2020.12.2,822,18808,832,39014
巴拿马,145518,2020.12.2,3098,18695,0,167311
尼泊尔,218161,2020.12.2,1538,16547,0,236246
丹麦,64757,2020.12.2,846,16346,1468,81949
拉脱维亚,1823,2020.12.2,224,16330,612,18377
阿拉伯联合酋长国,156380,2020.12.2,580,14474,1289,171434
哈萨克斯坦,117362,2020.12.2,1990,13766,0,133118
玻利维亚,122495,2020.12.2,8963,13352,0,144810
乌干达,9044,2020.12.2,205,11786,0,21035
以色列,324645,2020.12.2,2881,11222,49,338748
黑山,24637,2020.12.2,504,10708,0,35849
马来西亚,56969,2020.12.2,365,10686,1472,68020
摩尔多瓦,95918,2020.12.2,2323,10622,1499,108863
厄瓜多尔,169804,2020.12.2,13501,10368,0,193673
法属波利尼西亚,4842,2020.12.2,76,9641,0,14559
智利,528034,2020.12.2,15430,9400,1121,552864
挪威,27414,2020.12.2,334,8843,168,36591
塞浦路斯,2057,2020.12.2,49,8777,0,10883
卢森堡,26156,2020.12.2,330,8643,0,35129
阿富汗,37026,2020.12.2,1822,8132,219,46980
芬兰,18100,2020.12.2,408,7374,550,25882
阿曼,115613,2020.12.2,1430,7102,209,124145
吉尔吉斯斯坦,65189,2020.12.2,1277,7047,0,73513
危地马拉,111574,2020.12.2,4178,7022,712,122774
安哥拉,7932,2020.12.2,350,6969,0,15251
埃及,102816,2020.12.2,6666,6821,0,116303
斯里兰卡,17817,2020.12.2,122,6593,268,24532
韩国,28065,2020.12.2,526,6572,511,35163
苏丹,10369,2020.12.2,1255,6421,0,18045
瓜德罗普,2242,2020.12.2,149,6036,0,8427
马提尼克,98,2020.12.2,41,5381,0,5520
爱沙尼亚,7608,2020.12.2,122,5289,189,13019
沙特阿拉伯,347176,2020.12.2,5907,4540,263,357623
科威特,137625,2020.12.2,881,4486,357,142992
牙买加,6364,2020.12.2,258,4188,47,10810
委内瑞拉,97562,2020.12.2,901,4158,0,102621
叙利亚,3624,2020.12.2,422,3927,0,7973
尼日利亚,63430,2020.12.2,1176,3232,0,67838
中非共和国,1924,2020.12.2,63,2931,0,4918
博茨瓦纳,7912,2020.12.2,34,2796,0,10742
伯利兹,3151,2020.12.2,148,2555,0,5854
卡塔尔,136513,2020.12.2,239,2504,168,139256
乌兹别克斯坦,70534,2020.12.2,611,2190,51,73335
马约特,2964,2020.12.2,49,2168,0,5181
萨尔瓦多,35839,2020.12.2,1129,2162,0,39130
马耳他,7887,2020.12.2,146,2068,102,10101
喀麦隆,22177,2020.12.2,441,1869,0,24487
莫桑比克,13778,2020.12.2,131,1861,69,15770
乌拉圭,4483,2020.12.2,78,1463,0,6024
尼加拉瓜,4225,2020.12.2,161,1452,0,5838
巴哈马,5934,2020.12.2,163,1446,0,7543
巴林,85357,2020.12.2,341,1439,0,87137
澳大利亚,25612,2020.12.2,908,1403,0,27923
马里,3241,2020.12.2,160,1361,0,4762
库拉索,1191,2020.12.2,7,1305,0,2503
津巴布韦,8643,2020.12.2,277,1209,0,10129
法属圭亚那,9995,2020.12.2,70,1175,0,11240
海地,8023,2020.12.2,233,1040,0,9296
马尔代夫,11968,2020.12.2,47,1034,0,13049
索马里,3480,2020.12.2,121,924,0,4525
几内亚,12154,2020.12.2,76,913,0,13143
刚果（金）,11663,2020.12.2,335,861,0,12859
留尼汪岛,7172,2020.12.2,40,842,0,8054
圭亚那合作共和国,4436,2020.12.2,151,836,0,5423
莱索托,1278,2020.12.2,44,815,28,2137
加纳,50547,2020.12.2,323,797,0,51667
安道尔,5940,2020.12.2,76,774,0,6790
毛里塔尼亚,7764,2020.12.2,177,769,0,8710
特立尼达和多巴哥,5807,2020.12.2,120,758,0,6685
刚果（布）,4988,2020.12.2,94,692,0,5774
纳米比亚,13600,2020.12.2,151,665,0,14416
古巴,7658,2020.12.2,136,587,0,8381
塔吉克斯坦,11640,2020.12.2,86,505,0,12231
